kind,reference
MISSING_IN_GOI,001_GEN_031_055
MISSING_IN_GOI,002_EXO_008_029
MISSING_IN_GOI,002_EXO_008_030
MISSING_IN_GOI,002_EXO_008_031
MISSING_IN_GOI,002_EXO_008_032
MISSING_IN_GOI,002_EXO_022_031
MISSING_IN_GOI,003_LEV_006_024
MISSING_IN_GOI,003_LEV_006_025
MISSING_IN_GOI,003_LEV_006_026
MISSING_IN_GOI,003_LEV_006_027
MISSING_IN_GOI,003_LEV_006_028
MISSING_IN_GOI,003_LEV_006_029
MISSING_IN_GOI,003_LEV_006_030
MISSING_IN_GOI,004_NUM_016_036
MISSING_IN_GOI,004_NUM_016_037
MISSING_IN_GOI,004_NUM_016_038
MISSING_IN_GOI,004_NUM_016_039
MISSING_IN_GOI,004_NUM_016_040
MISSING_IN_GOI,004_NUM_016_041
MISSING_IN_GOI,004_NUM_016_042
MISSING_IN_GOI,004_NUM_016_043
MISSING_IN_GOI,004_NUM_016_044
MISSING_IN_GOI,004_NUM_016_045
MISSING_IN_GOI,004_NUM_016_046
MISSING_IN_GOI,004_NUM_016_047
MISSING_IN_GOI,004_NUM_016_048
MISSING_IN_GOI,004_NUM_016_049
MISSING_IN_GOI,004_NUM_016_050
MISSING_IN_GOI,004_NUM_029_040
MISSING_IN_GOI,005_DEU_012_032
MISSING_IN_GOI,005_DEU_022_030
MISSING_IN_GOI,005_DEU_029_029
MISSING_IN_GOI,009_1SA_023_029
MISSING_IN_GOI,010_2SA_018_033
MISSING_IN_GOI,011_1KI_004_021
MISSING_IN_GOI,011_1KI_004_022
MISSING_IN_GOI,011_1KI_004_023
MISSING_IN_GOI,011_1KI_004_024
MISSING_IN_GOI,011_1KI_004_025
MISSING_IN_GOI,011_1KI_004_026
MISSING_IN_GOI,011_1KI_004_027
MISSING_IN_GOI,011_1KI_004_028
MISSING_IN_GOI,011_1KI_004_029
MISSING_IN_GOI,011_1KI_004_030
MISSING_IN_GOI,011_1KI_004_031
MISSING_IN_GOI,011_1KI_004_032
MISSING_IN_GOI,011_1KI_004_033
MISSING_IN_GOI,011_1KI_004_034
MISSING_IN_GOI,012_2KI_011_021
MISSING_IN_GOI,013_1CH_006_067
MISSING_IN_GOI,013_1CH_006_068
MISSING_IN_GOI,013_1CH_006_069
MISSING_IN_GOI,013_1CH_006_070
MISSING_IN_GOI,013_1CH_006_071
MISSING_IN_GOI,013_1CH_006_072
MISSING_IN_GOI,013_1CH_006_073
MISSING_IN_GOI,013_1CH_006_074
MISSING_IN_GOI,013_1CH_006_075
MISSING_IN_GOI,013_1CH_006_076
MISSING_IN_GOI,013_1CH_006_077
MISSING_IN_GOI,013_1CH_006_078
MISSING_IN_GOI,013_1CH_006_079
MISSING_IN_GOI,013_1CH_006_080
MISSING_IN_GOI,013_1CH_006_081
MISSING_IN_GOI,014_2CH_002_018
MISSING_IN_GOI,014_2CH_014_015
MISSING_IN_GOI,016_NEH_004_018
MISSING_IN_GOI,016_NEH_004_019
MISSING_IN_GOI,016_NEH_004_020
MISSING_IN_GOI,016_NEH_004_021
MISSING_IN_GOI,016_NEH_004_022
MISSING_IN_GOI,016_NEH_004_023
MISSING_IN_GOI,016_NEH_007_073
MISSING_IN_GOI,016_NEH_009_038
MISSING_IN_GOI,018_JOB_041_027
MISSING_IN_GOI,018_JOB_041_028
MISSING_IN_GOI,018_JOB_041_029
MISSING_IN_GOI,018_JOB_041_030
MISSING_IN_GOI,018_JOB_041_031
MISSING_IN_GOI,018_JOB_041_032
MISSING_IN_GOI,018_JOB_041_033
MISSING_IN_GOI,018_JOB_041_034
MISSING_IN_GOI,021_ECC_005_020
MISSING_IN_GOI,022_SNG_006_013
MISSING_IN_GOI,023_ISA_009_021
MISSING_IN_GOI,023_ISA_064_012
MISSING_IN_GOI,024_JER_009_026
MISSING_IN_GOI,026_EZK_020_045
MISSING_IN_GOI,026_EZK_020_046
MISSING_IN_GOI,026_EZK_020_047
MISSING_IN_GOI,026_EZK_020_048
MISSING_IN_GOI,026_EZK_020_049
MISSING_IN_GOI,027_DAN_004_035
MISSING_IN_GOI,027_DAN_004_036
MISSING_IN_GOI,027_DAN_004_037
MISSING_IN_GOI,027_DAN_005_031
MISSING_IN_GOI,028_HOS_001_010
MISSING_IN_GOI,028_HOS_001_011
MISSING_IN_GOI,028_HOS_011_012
MISSING_IN_GOI,028_HOS_013_016
MISSING_IN_GOI,029_JOL_002_028
MISSING_IN_GOI,029_JOL_002_029
MISSING_IN_GOI,029_JOL_002_030
MISSING_IN_GOI,029_JOL_002_031
MISSING_IN_GOI,029_JOL_002_032
MISSING_IN_GOI,032_JON_001_017
MISSING_IN_GOI,033_MIC_005_015
MISSING_IN_GOI,034_NAM_001_015
MISSING_IN_GOI,038_ZEC_001_018
MISSING_IN_GOI,038_ZEC_001_019
MISSING_IN_GOI,038_ZEC_001_020
MISSING_IN_GOI,038_ZEC_001_021
EXTRA_IN_GOI,001_GEN_032_033
EXTRA_IN_GOI,002_EXO_007_026
EXTRA_IN_GOI,002_EXO_007_027
EXTRA_IN_GOI,002_EXO_007_028
EXTRA_IN_GOI,002_EXO_007_029
EXTRA_IN_GOI,002_EXO_021_037
EXTRA_IN_GOI,003_LEV_005_020
EXTRA_IN_GOI,003_LEV_005_021
EXTRA_IN_GOI,003_LEV_005_022
EXTRA_IN_GOI,003_LEV_005_023
EXTRA_IN_GOI,003_LEV_005_024
EXTRA_IN_GOI,003_LEV_005_025
EXTRA_IN_GOI,003_LEV_005_026
EXTRA_IN_GOI,004_NUM_017_014
EXTRA_IN_GOI,004_NUM_017_015
EXTRA_IN_GOI,004_NUM_017_016
EXTRA_IN_GOI,004_NUM_017_017
EXTRA_IN_GOI,004_NUM_017_018
EXTRA_IN_GOI,004_NUM_017_019
EXTRA_IN_GOI,004_NUM_017_020
EXTRA_IN_GOI,004_NUM_017_021
EXTRA_IN_GOI,004_NUM_017_022
EXTRA_IN_GOI,004_NUM_017_023
EXTRA_IN_GOI,004_NUM_017_024
EXTRA_IN_GOI,004_NUM_017_025
EXTRA_IN_GOI,004_NUM_017_026
EXTRA_IN_GOI,004_NUM_017_027
EXTRA_IN_GOI,004_NUM_017_028
EXTRA_IN_GOI,004_NUM_025_019
EXTRA_IN_GOI,004_NUM_030_017
EXTRA_IN_GOI,005_DEU_013_019
EXTRA_IN_GOI,005_DEU_023_026
EXTRA_IN_GOI,005_DEU_028_069
EXTRA_IN_GOI,009_1SA_021_016
EXTRA_IN_GOI,009_1SA_024_023
EXTRA_IN_GOI,010_2SA_019_044
EXTRA_IN_GOI,011_1KI_005_019
EXTRA_IN_GOI,011_1KI_005_020
EXTRA_IN_GOI,011_1KI_005_021
EXTRA_IN_GOI,011_1KI_005_022
EXTRA_IN_GOI,011_1KI_005_023
