book,chapter,verse,wlc,kjv,goi,decision,reason,edited
1CH,17,19,יְהוָ֕ה בַּעֲב֤וּר עַבְדְּךָ֙ וּֽכְלִבְּךָ֔ עָשִׂ֕יתָ אֵ֥ת כָּל הַגְּדוּלָּ֖ה הַזֹּ֑את לְהֹדִ֖יעַ אֶת כָּל הַגְּדֻלּֽוֹת,"O LORD, for thy servant’s sake, and according to thine own heart, hast thou done all this greatness, in making known all [these] great things.","the LORD has done all this greatness for the sake of your servant and according to your will, to make known all the greatnesses.",edit,"WLC is 2nd-person direct address (thine own heart); GOI opens 3rd person ('the LORD has done') then switches to 2nd-person possessives ('your servant', 'your will') referring to the same LORD — a person mismatch. KJV idiom confirms vocative opening.","O LORD, you have done all this greatness for the sake of your servant and according to your will, to make known all the greatnesses."
1CH,26,32,וְאֶחָ֣יו בְּנֵי חַ֗יִל אַלְפַּ֛יִם וּשְׁבַ֥ע מֵא֖וֹת רָאשֵׁ֣י הָאָב֑וֹת וַיַּפְקִידֵ֞ם דָּוִ֣יד הַמֶּ֗לֶךְ עַל הָראוּבֵנִ֤י וְהַגָּדִי֙ וַחֲצִי֙ שֵׁ֣בֶט הַֽמְנַשִּׁ֔י לְכָל דְּבַ֥ר הָאֱלֹהִ֖ים וּדְבַ֥ר הַמֶּֽלֶךְ,"And his brethren, men of valour, [were] two thousand and seven hundred chief fathers, whom king David made rulers over the Reubenites, the Gadites, and the half tribe of Manasseh, for every matter pertaining to God, and affairs of the king.","And his brothers, valiant men, two thousand seven hundred chief fathers, King David appointed over the Reubenites, the Gadites, and the half-tribe of Manasseh for every matter of God and the king's word.",no_edit,"False positive: matched on 'pertaining to God' (substring 'o God'), not a vocative. WLC has no direct address here; GOI's 'for every matter of God' is correct.",
1CH,29,16,יְהוָ֣ה אֱלֹהֵ֔ינוּ כֹ֣ל הֶהָמ֤וֹן הַזֶּה֙ אֲשֶׁ֣ר הֲכִינֹ֔נוּ לִבְנֽוֹת לְךָ֥ בַ֖יִת לְשֵׁ֣ם קָדְשֶׁ֑ךָ מִיָּדְךָ֥ היא וּלְךָ֥ הַכֹּֽל,"O LORD our God, all this store that we have prepared to build thee an house for thine holy name [cometh] of thine hand, and [is] all thine own.","the LORD our God, all this abundance that we have prepared to build you a temple for the name of your holiness comes from your hand and to you is the whole.",edit,"WLC יְהוָה אֱלֹהֵינוּ opens David's prayer as direct address (parallel thine/thee throughout KJV). GOI opens 3rd person ('the LORD our God') then switches to 2nd person ('your hand', 'to you') — person mismatch.","O LORD our God, all this abundance that we have prepared to build you a temple for the name of your holiness comes from your hand and to you is the whole."
1SA,20,12,וַיֹּ֨אמֶר יְהוֹנָתָ֜ן אֶל דָּוִ֗ד יְהוָ֞ה אֱלֹהֵ֤י יִשְׂרָאֵל֙ כִּֽי אֶחְקֹ֣ר אֶת אָבִ֗י כָּעֵ֤ת מָחָר֙ הַשְּׁלִשִׁ֔ית וְהִנֵּה ט֖וֹב אֶל דָּוִ֑ד וְלֹֽא אָז֙ אֶשְׁלַ֣ח אֵלֶ֔יךָ וְגָלִ֖יתִי אֶת אָזְנֶֽךָ,"And Jonathan said unto David, O LORD God of Israel, when I have sounded my father about to morrow any time, [or] the third [day], and, behold, [if there be] good toward David, and I then send not unto thee, and shew it thee;","Jonathan said to David, ""Jehovah, God of Israel: tomorrow at this time I will find out about my father; if good is shown toward David, then I will not send to you and inform you; but if not, I will tell you and uncover your ear.""",no_edit,"GOI already renders the oath-invocation as direct address ('Jehovah, God of Israel:' + 1st-person speech), matching WLC's elliptical oath formula. Reads as address, not 3rd-person description — no 'funny' reading despite lacking literal 'O'.",
1SA,23,11,הֲיַסְגִּרֻ֣נִי בַעֲלֵי֩ קְעִילָ֨ה בְיָד֜וֹ הֲיֵרֵ֣ד שָׁא֗וּל כַּֽאֲשֶׁר֙ שָׁמַ֣ע עַבְדֶּ֔ךָ יְהוָה֙ אֱלֹהֵ֣י יִשְׂרָאֵ֔ל הַגֶּד נָ֖א לְעַבְדֶּ֑ךָ וַיֹּ֥אמֶר יְהוָ֖ה יֵרֵֽד,"Will the men of Keilah deliver me up into his hand? will Saul come down, as thy servant hath heard? O LORD God of Israel, I beseech thee, tell thy servant. And the LORD said, He will come down.","Will the men of Keilah deliver me into his hand? Will Saul come down as Your servant has heard? I pray You, tell Your servant. And the LORD said, He will come down.",edit,"WLC/KJV: genuine vocative prayer ('O LORD God of Israel, I beseech thee'). GOI drops the divine address entirely, jumping from 'as Your servant has heard?' straight to 'I pray You' — the title itself is missing, not just the 'O'.","Will the men of Keilah deliver me into his hand? Will Saul come down as Your servant has heard? O LORD God of Israel, I pray You, tell Your servant. And the LORD said, He will come down."
1SA,25,22,כֹּה יַעֲשֶׂ֧ה אֱלֹהִ֛ים לְאֹיְבֵ֥י דָוִ֖ד וְכֹ֣ה יֹסִ֑יף אִם אַשְׁאִ֧יר מִכָּל אֲשֶׁר ל֛וֹ עַד הַבֹּ֖קֶר מַשְׁתִּ֥ין בְּקִֽיר,"So and more also do God unto the enemies of David, if I leave of all that [pertain] to him by the morning light any that pisseth against the wall.","Thus may God do to the enemies of David and more may He add: if I leave of all that belongs to him until the morning, one who urinates against a wall.",no_edit,"False positive: WLC כֹּה יַעֲשֶׂה אֱלֹהִים is a 3rd-person oath formula ('thus may God do to...'), not vocative address. KJV's 'do God' matched only via substring 'o God'. GOI's 'Thus may God do...' is correct.",
2CH,20,6,וַיֹּאמַ֗ר יְהוָ֞ה אֱלֹהֵ֤י אֲבֹתֵ֨ינוּ֙ הֲלֹ֨א אַתָּֽה ה֤וּא אֱלֹהִים֙ בַּשָּׁמַ֔יִם וְאַתָּ֣ה מוֹשֵׁ֔ל בְּכֹ֖ל מַמְלְכ֣וֹת הַגּוֹיִ֑ם וּבְיָדְךָ֙ כֹּ֣חַ וּגְבוּרָ֔ה וְאֵ֥ין עִמְּךָ֖ לְהִתְיַצֵּֽב,"And said, O LORD God of our fathers, [art] not thou God in heaven? and rulest [not] thou over all the kingdoms of the heathen? and in thine hand [is there not] power and might, so that none is able to withstand thee?","And Jehovah, God of our fathers, said, Is not He the God in the heavens? And You rule over all the kingdoms of the nations, and in Your hand is power and might, and there is none with You to withstand.",edit,"WLC is a genuine vocative prayer (Jehoshaphat addressing God directly, 2nd-person 'art not thou'). GOI restructures it as 3rd-person narration ('Jehovah... said, Is not He the God') — inverts speaker/addressee and breaks person agreement with the rest of the verse which stays 2nd person ('You rule', 'Your hand').","And he said, ""O LORD God of our fathers, are You not God in the heavens? And You rule over all the kingdoms of the nations, and in Your hand is power and might, and there is none with You to withstand."""
2KI,19,15,וַיִּתְפַּלֵּ֨ל חִזְקִיָּ֜הוּ לִפְנֵ֣י יְהוָה֮ וַיֹּאמַר֒ יְהוָ֞ה אֱלֹהֵ֤י יִשְׂרָאֵל֙ יֹשֵׁ֣ב הַכְּרֻבִ֔ים אַתָּה ה֤וּא הָֽאֱלֹהִים֙ לְבַדְּךָ֔ לְכֹ֖ל מַמְלְכ֣וֹת הָאָ֑רֶץ אַתָּ֣ה עָשִׂ֔יתָ אֶת הַשָּׁמַ֖יִם וְאֶת הָאָֽרֶץ,"And Hezekiah prayed before the LORD, and said, O LORD God of Israel, which dwellest [between] the cherubims, thou art the God, [even] thou alone, of all the kingdoms of the earth; thou hast made heaven and earth.","Hezekiah prayed before the LORD and said, the LORD God of Israel, enthroned above the cherubim, you are the God alone of all the kingdoms of the earth, you made the heavens and the earth.",no_edit,"GOI's 'the LORD God of Israel, enthroned above the cherubim, you are the God alone...' is a vocative phrase followed consistently by 2nd person ('you are', 'you made') — reads as valid address without literal 'O', same convention used elsewhere (e.g. 2SA 7:18/19/29).",
2KI,19,18,וְנָתְנ֥וּ אֶת אֱלֹהֵיהֶ֖ם בָּאֵ֑שׁ כִּי֩ לֹ֨א אֱלֹהִ֜ים הֵ֗מָּה כִּ֣י אִם מַעֲשֵׂ֧ה יְדֵֽי אָדָ֛ם עֵ֥ץ וָאֶ֖בֶן וַֽיְאַבְּדֽוּם,"And have cast their gods into the fire: for they [were] no gods, but the work of men’s hands, wood and stone: therefore they have destroyed them.","They will give their gods into the fire, for they are not gods, but the work of human hands, wood and stone, and they will destroy them.",no_edit,"False positive: WLC/KJV describe pagan idols in the 3rd person ('they were no gods'), not YHWH, no vocative involved. Matched only via substring 'o god' inside 'no gods'.",
2SA,3,9,כֹּֽה יַעֲשֶׂ֤ה אֱלֹהִים֙ לְאַבְנֵ֔ר וְכֹ֖ה יֹסִ֣יף ל֑וֹ כִּ֗י כַּאֲשֶׁ֨ר נִשְׁבַּ֤ע יְהוָה֙ לְדָוִ֔ד כִּֽי כֵ֖ן אֶֽעֱשֶׂה לּֽוֹ,"So do God to Abner, and more also, except, as the LORD hath sworn to David, even so I do to him;","Thus may God do to Abner and thus may he add to him, for as Jehovah swore to David, so will I do to him.",no_edit,"False positive: WLC כֹּה יַעֲשֶׂה אֱלֹהִים is Abner's oath formula ('thus may God do to me'), 3rd person, not vocative. KJV's 'do God' matched only via substring. GOI's rendering is correct.",
2SA,3,35,וַיָּבֹ֣א כָל הָעָ֗ם לְהַבְר֧וֹת אֶת דָּוִ֛ד לֶ֖חֶם בְּע֣וֹד הַיּ֑וֹם וַיִּשָּׁבַ֨ע דָּוִ֜ד לֵאמֹ֗ר כֹּ֣ה יַעֲשֶׂה לִּ֤י אֱלֹהִים֙ וְכֹ֣ה יֹסִ֔יף כִּ֣י אִם לִפְנֵ֧י בֽוֹא הַשֶּׁ֛מֶשׁ אֶטְעַם לֶ֖חֶם א֥וֹ כָל מְאֽוּמָה,"And when all the people came to cause David to eat meat while it was yet day, David sware, saying, So do God to me, and more also, if I taste bread, or ought else, till the sun be down.","All the people came to provide David with food while yet the day lasted, and David swore, saying, ""Thus may God do to me and thus may he add, if before the sun comes I taste food or anything at all.""",no_edit,"False positive: same oath formula as 2SA 3:9 ('thus may God do to me'), 3rd person, not vocative. Matched only via substring 'o God' in 'do God'.",
2SA,7,18,וַיָּבֹא֙ הַמֶּ֣לֶךְ דָּוִ֔ד וַיֵּ֖שֶׁב לִפְנֵ֣י יְהוָ֑ה וַיֹּ֗אמֶר מִ֣י אָנֹכִ֞י אֲדֹנָ֤י יְהוִה֙ וּמִ֣י בֵיתִ֔י כִּ֥י הֲבִיאֹתַ֖נִי עַד הֲלֹֽם,"Then went king David in, and sat before the LORD, and he said, Who [am] I, O Lord GOD? and what [is] my house, that thou hast brought me hitherto?","King David came and sat before the LORD and said, ""Who am I, my Lord the LORD, and who is my house, that you have brought me thus far?""",no_edit,"GOI already renders WLC's Adonai vocative as direct address ('my Lord the LORD'), GOI's established convention for this construction (cf. 2SA 7:19/28/29). Reads as address, not 3rd-person description.",
