book,chapter,verse,severity,category,expected_name,observed_name,note
1CH,5,23,red,known_name_variant,Baal-hermón,Baal-Hermón,Observed 'Baal-Hermón'; approved form is 'Baal-hermón'.
1CH,7,29,red,known_name_variant,Beth-sean,Beth-seán,Observed 'Beth-seán'; approved form is 'Beth-sean'.
1CH,1,31,orange,missing_expected_name,Abraham,,Expected approved name 'Abraham' from RV1909 occurrence.
1CH,5,25,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
1CH,21,20,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
1CH,21,23,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
1CH,21,25,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
1CH,21,30,orange,missing_expected_name,Moisés,,Expected approved name 'Moisés' from RV1909 occurrence.
1CH,27,28,orange,missing_expected_name,Baal-hanan,,Expected approved name 'Baal-hanan' from RV1909 occurrence.
1KI,12,22,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
1KI,16,30,orange,missing_expected_name,Israel,,Expected approved name 'Israel' from RV1909 occurrence.
1KI,22,45,orange,missing_expected_name,Israel,,Expected approved name 'Israel' from RV1909 occurrence.
1KI,22,49,orange,missing_expected_name,Ezion-geber,,Expected approved name 'Ezion-geber' from RV1909 occurrence.
1SA,3,17,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
1SA,7,11,orange,missing_expected_name,Beth-car,,Expected approved name 'Beth-car' from RV1909 occurrence.
1SA,14,37,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
1SA,24,22,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
2CH,8,17,orange,missing_expected_name,Esion-geber,,Expected approved name 'Esion-geber' from RV1909 occurrence.
2CH,20,36,orange,missing_expected_name,Esion-geber,,Expected approved name 'Esion-geber' from RV1909 occurrence.
2CH,24,27,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
2CH,34,9,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
2SA,2,31,orange,missing_expected_name,Beth-lehem,,Expected approved name 'Beth-lehem' from RV1909 occurrence.
2SA,17,25,orange,missing_expected_name,Israel,,Expected approved name 'Israel' from RV1909 occurrence.
EXO,7,24,orange,missing_expected_name,Egipto,,Expected approved name 'Egipto' from RV1909 occurrence.
EZK,9,3,orange,missing_expected_name,Jehová,,Expected approved name 'Jehová' from RV1909 occurrence.
