name_seen,approved_or_expected,severity,category,occurrences,refs
Đức Chúa Trời,Đức Chúa Trời,orange,missing_expected_name,30,DEU 4:15; DEU 9:4; DEU 13:17; DEU 24:9; DEU 32:43; EXO 24:1; ISA 9:1; ISA 27:7; ISA 40:13; ISA 45:6; JOB 3:4; JOB 7:12; JOB 9:32; JOB 20:23; JOB 24:23; JOB 27:2; JOB 30:11; JOB 33:10; JOB 38:1; PRO 12:2; PRO 14:14; PSA 7:12; PSA 17:6; PSA 24:6; PSA 37:22; PSA 61:1; PSA 65:1; PSA 85:8; PSA 107:38; PSA 115:2
Y-sơ-ra-ên,Y-sơ-ra-ên,orange,missing_expected_name,15,DEU 10:7; EXO 1:11; EXO 6:1; EXO 14:17; EXO 14:28; NUM 9:20; NUM 18:9; NUM 18:12; NUM 21:16; NUM 21:19; NUM 22:41; NUM 26:3; NUM 28:3; NUM 32:19; PSA 105:17
Môi-se,Môi-se,orange,missing_expected_name,6,EXO 2:22; EXO 4:24; EXO 32:18; NUM 10:36; NUM 12:5; NUM 16:19
Đức Giê-hô-va,Đức Giê-hô-va,orange,missing_expected_name,6,DEU 28:14; EXO 4:26; GEN 25:11; ISA 19:23; ISA 44:4; LEV 27:29
Lê-vi,Lê-vi,orange,missing_expected_name,4,DEU 33:9; NUM 3:16; NUM 4:49; NUM 7:4
Ba-la-am,Ba-la-am,orange,missing_expected_name,3,NUM 23:14; NUM 23:17; NUM 23:18
Ba-anh-Ha-nan,Ba-anh-Ha-nan,orange,missing_expected_name,2,GEN 36:38; GEN 36:39
Si-ôn,Si-ôn,orange,missing_expected_name,2,ISA 10:32; ISA 30:19
A-rôn,A-rôn,orange,missing_expected_name,1,NUM 16:19
Am-môn,Am-môn,orange,missing_expected_name,1,DEU 2:21
Aït-bát,Aït-bát,orange,missing_expected_name,1,ISA 36:19
Aùp-ra-ham,Aùp-ra-ham,orange,missing_expected_name,1,PSA 105:5
Bố-vi,Bố-vi,orange,missing_expected_name,1,EXO 27:12
Ca-lép,Ca-lép,orange,missing_expected_name,1,NUM 13:31
Eùp-ra-im,Eùp-ra-im,orange,missing_expected_name,1,NUM 2:24
Gia-cốp,Gia-cốp,orange,missing_expected_name,1,PSA 105:5
Giu-đa,Giu-đa,orange,missing_expected_name,1,NUM 2:5
Giô-sép,Giô-sép,orange,missing_expected_name,1,GEN 37:36
Lê-a,Lê-a,orange,missing_expected_name,1,GEN 29:28
Mê-ra-ri,Mê-ra-ri,orange,missing_expected_name,1,NUM 4:31
Nô-ê,Nô-ê,orange,missing_expected_name,1,GEN 8:9
Oùc,Oùc,orange,missing_expected_name,1,NUM 21:35
Ra-chên,Ra-chên,orange,missing_expected_name,1,GEN 35:18
Rê-pha-im,Rê-pha-im,orange,missing_expected_name,1,DEU 2:21
San-chê-ríp,San-chê-ríp,orange,missing_expected_name,1,ISA 37:20
Si-ho,Si-ho,orange,missing_expected_name,1,ISA 23:3
Sê-li-sia,Sê-li-sia,orange,missing_expected_name,1,ISA 15:5
Sê-lô-mít,Sê-lô-mít,orange,missing_expected_name,1,LEV 24:12
Đi-hôn,Đi-hôn,orange,missing_expected_name,1,ISA 15:2
Điệp-ri,Điệp-ri,orange,missing_expected_name,1,LEV 24:12
Đông-phương,Đông-phương,orange,missing_expected_name,1,NUM 23:7
