book,chapter,verse,severity,category,expected_name,observed_name,note
DEU,2,21,orange,missing_expected_name,Am-môn,,Expected approved name 'Am-môn' from VIE1934 occurrence.
DEU,2,21,orange,missing_expected_name,Rê-pha-im,,Expected approved name 'Rê-pha-im' from VIE1934 occurrence.
DEU,4,15,orange,missing_expected_name,Đức Chúa Trời,,Expected approved name 'Đức Chúa Trời' from VIE1934 occurrence.
DEU,9,4,orange,missing_expected_name,Đức Chúa Trời,,Expected approved name 'Đức Chúa Trời' from VIE1934 occurrence.
DEU,10,7,orange,missing_expected_name,Y-sơ-ra-ên,,Expected approved name 'Y-sơ-ra-ên' from VIE1934 occurrence.
DEU,13,17,orange,missing_expected_name,Đức Chúa Trời,,Expected approved name 'Đức Chúa Trời' from VIE1934 occurrence.
DEU,24,9,orange,missing_expected_name,Đức Chúa Trời,,Expected approved name 'Đức Chúa Trời' from VIE1934 occurrence.
DEU,28,14,orange,missing_expected_name,Đức Giê-hô-va,,Expected approved name 'Đức Giê-hô-va' from VIE1934 occurrence.
DEU,32,43,orange,missing_expected_name,Đức Chúa Trời,,Expected approved name 'Đức Chúa Trời' from VIE1934 occurrence.
DEU,33,9,orange,missing_expected_name,Lê-vi,,Expected approved name 'Lê-vi' from VIE1934 occurrence.
EXO,1,11,orange,missing_expected_name,Y-sơ-ra-ên,,Expected approved name 'Y-sơ-ra-ên' from VIE1934 occurrence.
EXO,2,22,orange,missing_expected_name,Môi-se,,Expected approved name 'Môi-se' from VIE1934 occurrence.
EXO,4,24,orange,missing_expected_name,Môi-se,,Expected approved name 'Môi-se' from VIE1934 occurrence.
EXO,4,26,orange,missing_expected_name,Đức Giê-hô-va,,Expected approved name 'Đức Giê-hô-va' from VIE1934 occurrence.
EXO,6,1,orange,missing_expected_name,Y-sơ-ra-ên,,Expected approved name 'Y-sơ-ra-ên' from VIE1934 occurrence.
EXO,14,17,orange,missing_expected_name,Y-sơ-ra-ên,,Expected approved name 'Y-sơ-ra-ên' from VIE1934 occurrence.
EXO,14,28,orange,missing_expected_name,Y-sơ-ra-ên,,Expected approved name 'Y-sơ-ra-ên' from VIE1934 occurrence.
EXO,24,1,orange,missing_expected_name,Đức Chúa Trời,,Expected approved name 'Đức Chúa Trời' from VIE1934 occurrence.
EXO,27,12,orange,missing_expected_name,Bố-vi,,Expected approved name 'Bố-vi' from VIE1934 occurrence.
EXO,32,18,orange,missing_expected_name,Môi-se,,Expected approved name 'Môi-se' from VIE1934 occurrence.
GEN,8,9,orange,missing_expected_name,Nô-ê,,Expected approved name 'Nô-ê' from VIE1934 occurrence.
GEN,25,11,orange,missing_expected_name,Đức Giê-hô-va,,Expected approved name 'Đức Giê-hô-va' from VIE1934 occurrence.
GEN,29,28,orange,missing_expected_name,Lê-a,,Expected approved name 'Lê-a' from VIE1934 occurrence.
GEN,35,18,orange,missing_expected_name,Ra-chên,,Expected approved name 'Ra-chên' from VIE1934 occurrence.
GEN,36,38,orange,missing_expected_name,Ba-anh-Ha-nan,,Expected approved name 'Ba-anh-Ha-nan' from VIE1934 occurrence.
GEN,36,39,orange,missing_expected_name,Ba-anh-Ha-nan,,Expected approved name 'Ba-anh-Ha-nan' from VIE1934 occurrence.
GEN,37,36,orange,missing_expected_name,Giô-sép,,Expected approved name 'Giô-sép' from VIE1934 occurrence.
