MISSING  MAT 2:16  G3816  [đầy tớ]
MISSING  MAT 5:3  G4151  [Thánh Linh]
MISSING  MAT 16:3  G4383  [mặt]
MISSING  MAT 17:25  G5056  [sự cuối cùng]
MISSING  MAT 24:45  G2322  [sự chữa lành]
MISSING  MRK 2:8  G4151  [Thánh Linh]
MISSING  MRK 3:10  G3148  [roi vọt]
MISSING  MRK 7:4  G3582  [cái chén]
MISSING  LUK 8:3  G2489  [Giô-ên]
MISSING  LUK 12:11  G746  [sự ban đầu]
MISSING  LUK 12:18  G1081  [con cái]
MISSING  LUK 12:42  G2322  [sự chữa lành]
MISSING  LUK 20:20  G746  [sự ban đầu]
MISSING  LUK 24:37  G4151  [Thánh Linh]
MISSING  ACT 10:11  G746  [sự ban đầu]
MISSING  ACT 18:14  G4467  [sự dâm dật]
MISSING  ACT 19:21  G4151  [Thánh Linh]
MISSING  ROM 2:29  G4151  [Thánh Linh]
MISSING  ROM 13:13  G2205  [lòng sốt sắng]
MISSING  1CO 4:21  G4151  [Thánh Linh]
MISSING  1CO 4:21  G4240  [sự nhu mì]
MISSING  1CO 12:10  G4151  [Thánh Linh]
MISSING  EPH 1:21  G746  [sự ban đầu]
MISSING  PHP 1:27  G5590  [linh hồn]
MISSING  COL 1:16  G746  [sự ban đầu]
MISSING  2TH 2:2  G4151  [Thánh Linh]
MISSING  2TH 2:8  G4151  [Thánh Linh]
MISSING  TIT 3:1  G746  [sự ban đầu]
MISSING  HEB 1:7  G4151  [Thánh Linh]
MISSING  HEB 1:14  G4151  [Thánh Linh]
MISSING  HEB 9:2  G4286  [mục đích]
MISSING  HEB 9:8  G4714  [sự nổi loạn]
MISSING  JAS 2:26  G4151  [Thánh Linh]
MISSING  JAS 4:5  G5355  [lòng ghen ghét]
MISSING  1PE 4:6  G4151  [Thánh Linh]
MISSING  1JN 4:6  G4151  [Thánh Linh]
MISSING  1JN 4:6  G4151  [Thánh Linh]
MISSING  REV 13:7  G1484  [dân ngoại]
MISSING  REV 19:10  G4151  [Thánh Linh]
