testament,strongs,default_rendering,occurrences,lsg_contains_default,agreement
OT,H5002,déclaration,376,0,0.000
NT,G749,grand prêtre,123,0,0.000
OT,H5982,pilier,112,0,0.000
OT,H8548,offrande continuelle,104,0,0.000
OT,H8002,sacrifice de paix,87,0,0.000
OT,H4931,observance,78,0,0.000
NT,G4143,bateau,67,0,0.000
OT,H7585,schéol,65,0,0.000
OT,H2472,rêve,64,0,0.000
NT,G1320,enseignant,58,0,0.000
OT,H134,socle,57,0,0.000
OT,H3077,Jehoïada,51,0,0.000
OT,H4148,discipline,50,0,0.000
OT,H5038,carcasse,48,0,0.000
OT,H4975,hanches,47,0,0.000
OT,H7716,mouton,47,0,0.000
OT,H835,bienheureux,45,0,0.000
OT,H8144,écarlate,42,0,0.000
NT,G4263,mouton,41,0,0.000
OT,H5654,Obéd-Édom,40,0,0.000
OT,H1767,suffisance,39,0,0.000
OT,H4393,contenu,38,0,0.000
OT,H8492,vin nouveau,38,0,0.000
OT,H197,porche,34,0,0.000
OT,H6241,-dixième,33,0,0.000
OT,H2876,garde du corps,32,0,0.000
OT,H4676,stèle,32,0,0.000
OT,H8426,sacrifice d'actions de grâces,32,0,0.000
OT,H7259,Rébecca,30,0,0.000
OT,H7848,bois d'acacia,28,0,0.000
OT,H361,porche,27,0,0.000
OT,H4161,provenance,27,0,0.000
OT,H7358,matrice,26,0,0.000
OT,H2146,mémorial,24,0,0.000
OT,H343,calamité,24,0,0.000
OT,H3489,piquet,24,0,0.000
NT,G290,vignoble,23,0,0.000
OT,H4522,levée,23,0,0.000
NT,G5506,chiliarque,22,0,0.000
OT,H2195,indignation,22,0,0.000
OT,H3110,Johanan,22,0,0.000
OT,H4353,Machir,22,0,0.000
NT,G1543,centurion,21,0,0.000
OT,H3617,anéantissement,21,0,0.000
OT,H6307,Padan-Aram,21,0,0.000
OT,H6591,interprétation,21,0,0.000
OT,H8561,palmier,20,0,0.000
NT,G4569,Saül,17,0,0.000
OT,H178,esprit évoqué,17,0,0.000
OT,H249,autochtone,17,0,0.000
OT,H4869,retraite forte,17,0,0.000
OT,H7549,firmament,17,0,0.000
OT,H795,Ashdod,17,0,0.000
NT,G2310,fondation,16,0,0.000
NT,G2584,Capharnaüm,16,0,0.000
NT,G4073,roche,16,0,0.000
NT,G4653,obscurité,16,0,0.000
OT,H2721,chaleur brûlante,16,0,0.000
OT,H3018,labeur,16,0,0.000
OT,H7992,troisième,16,0,0.000
NT,G4625,pierre d'achoppement,15,0,0.000
OT,H6956,Kohathites,15,0,0.000
OT,H8655,teraphim,15,0,0.000
NT,G3464,onguent,14,0,0.000
NT,G5519,porc,14,0,0.000
OT,H1062,droit d'aînesse,14,0,0.000
OT,H4628,ouest,14,0,0.000
OT,H1354,bord,13,0,0.000
OT,H1420,majesté,13,0,0.000
OT,H2715,nobles,13,0,0.000
OT,H4261,objet de désir,13,0,0.000
OT,H6496,préposé,13,0,0.000
OT,H7425,Remaliah,13,0,0.000
OT,H8316,brûlure,13,0,0.000
