book,chapter,verse,flags,priority
MAT,1,6,TRANSLATION,normal
MAT,1,19,TRANSLATION,normal
MAT,1,20,TRANSLATION,normal
MAT,1,21,TRANSLATION,normal
MAT,1,23,TRANSLATION,normal
MAT,2,7,TRANSLATION,normal
MAT,2,8,TRANSLATION,normal
MAT,2,11,TRANSLATION,normal
MAT,2,16,TRANSLATION,normal
MAT,3,2,TRANSLATION,normal
MAT,3,5,TRANSLATION,normal
MAT,3,6,TRANSLATION,normal
MAT,3,12,TRANSLATION,normal
MAT,3,13,TRANSLATION,normal
MAT,3,15,TRANSLATION,normal
MAT,3,17,TRANSLATION,normal
MAT,4,1,TRANSLATION,normal
MAT,4,17,TRANSLATION,normal
MAT,4,23,TRANSLATION,normal
MAT,5,2,TRANSLATION,normal
MAT,5,13,TRANSLATION,normal
MAT,5,18,TRANSLATION,normal
MAT,5,22,TRANSLATION,normal
MAT,5,23,TRANSLATION,normal
MAT,5,31,TRANSLATION,normal
MAT,5,33,TRANSLATION,normal
MAT,5,35,TRANSLATION,normal
MAT,5,40,TRANSLATION,normal
MAT,6,1,TRANSLATION,normal
MAT,6,5,TRANSLATION,normal
MAT,6,17,TRANSLATION,normal
MAT,6,26,TRANSLATION,normal
MAT,6,29,TRANSLATION,normal
MAT,6,30,TRANSLATION,normal
MAT,6,32,TRANSLATION,normal
MAT,7,3,TRANSLATION,normal
MAT,7,4,TRANSLATION,normal
MAT,7,10,TRANSLATION,normal
MAT,7,13,TRANSLATION,normal
MAT,7,14,TRANSLATION,normal
MAT,7,22,TRANSLATION,normal
MAT,7,23,TRANSLATION,normal
MAT,8,6,TRANSLATION,normal
MAT,8,7,TRANSLATION,normal
MAT,8,11,TRANSLATION,normal
MAT,8,12,TRANSLATION,normal
MAT,8,15,TRANSLATION,normal
MAT,8,16,TRANSLATION,normal
MAT,8,18,TRANSLATION,normal
MAT,8,22,TRANSLATION,normal
MAT,8,25,TRANSLATION,normal
MAT,8,29,TRANSLATION,normal
MAT,9,4,TRANSLATION,normal
MAT,9,19,TRANSLATION,normal
MAT,9,24,TRANSLATION,normal
MAT,9,25,TRANSLATION,normal
MAT,9,28,TRANSLATION,normal
MAT,9,29,TRANSLATION,normal
MAT,9,30,TRANSLATION,normal
MAT,9,34,TRANSLATION,normal
MAT,10,3,TRANSLATION,normal
MAT,10,7,TRANSLATION,normal
MAT,10,8,TRANSLATION,normal
MAT,10,10,TRANSLATION,normal
MAT,10,11,TRANSLATION,normal
MAT,10,12,TRANSLATION,normal
MAT,10,21,TRANSLATION,normal
MAT,10,23,TRANSLATION,normal
MAT,10,25,TRANSLATION,normal
MAT,10,26,TRANSLATION,normal
MAT,10,29,TRANSLATION,normal
MAT,11,7,TRANSLATION,normal
MAT,11,11,TRANSLATION,normal
