book,chapter,verse,flags,priority
MAT,2,16,TRANSLATION,normal
MAT,11,23,TRANSLATION,normal
MAT,11,27,TRANSLATION,normal
MAT,12,45,TRANSLATION,normal
MAT,16,3,TRANSLATION,normal
MAT,17,25,TRANSLATION,normal
MAT,24,45,TRANSLATION,normal
MAT,27,50,TRANSLATION,normal
MRK,2,15,TRANSLATION,normal
MRK,3,10,TRANSLATION,normal
MRK,7,4,TRANSLATION,normal
MRK,9,17,TRANSLATION,normal
MRK,12,19,TRANSLATION,normal
LUK,7,5,TRANSLATION,normal
LUK,8,3,TRANSLATION,normal
LUK,8,38,TRANSLATION,normal
LUK,11,26,TRANSLATION,normal
LUK,12,18,TRANSLATION,normal
LUK,12,42,TRANSLATION,normal
LUK,13,11,TRANSLATION,normal
LUK,20,20,TRANSLATION,normal
LUK,24,39,TRANSLATION,normal
JHN,11,50,TRANSLATION,normal
JHN,11,51,TRANSLATION,normal
ACT,10,11,TRANSLATION,normal
ACT,13,24,TRANSLATION,normal
ACT,16,17,TRANSLATION,normal
ACT,18,14,TRANSLATION,normal
ACT,19,16,TRANSLATION,normal
ACT,24,17,TRANSLATION,normal
ACT,24,26,TRANSLATION,normal
ACT,28,19,TRANSLATION,normal
ROM,2,4,TRANSLATION,normal
ROM,9,15,TRANSLATION,normal
ROM,13,7,TRANSLATION,normal
ROM,13,13,TRANSLATION,normal
1CO,6,9,TRANSLATION,normal
1CO,6,17,TRANSLATION,normal
1CO,7,17,TRANSLATION,normal
1CO,7,40,TRANSLATION,normal
1CO,14,10,TRANSLATION,normal
1CO,15,24,TRANSLATION,normal
1CO,15,34,TRANSLATION,normal
1CO,16,3,TRANSLATION,normal
2CO,9,1,TRANSLATION,normal
2CO,10,2,TRANSLATION,normal
GAL,5,22,TRANSLATION,normal
EPH,2,2,TRANSLATION,normal
EPH,4,31,TRANSLATION,normal
COL,1,11,TRANSLATION,normal
COL,3,8,TRANSLATION,normal
COL,4,8,TRANSLATION,normal
2TI,3,10,TRANSLATION,normal
TIT,2,7,TRANSLATION,normal
PHM,1,22,TRANSLATION,normal
HEB,4,5,TRANSLATION,normal
HEB,9,2,TRANSLATION,normal
HEB,9,8,TRANSLATION,normal
HEB,13,4,TRANSLATION,normal
JAS,4,5,TRANSLATION,normal
1JN,5,7,TRANSLATION,normal
REV,5,1,TRANSLATION,normal
REV,21,19,TRANSLATION,normal
