book,chapter,verse,flags,priority
MRK,6,14,TRANSLATION,normal
LUK,22,36,TRANSLATION,normal
LUK,23,35,TRANSLATION,normal
LUK,24,17,TRANSLATION,normal
JHN,10,35,TRANSLATION,normal
ACT,11,11,TRANSLATION,normal
ACT,18,22,TRANSLATION,normal
ACT,24,17,TRANSLATION,normal
ROM,4,19,TRANSLATION,normal
ROM,16,14,TRANSLATION,normal
1CO,12,3,TRANSLATION,normal
EPH,2,5,TRANSLATION,normal
EPH,6,24,TRANSLATION,normal
COL,1,21,TRANSLATION,normal
COL,2,15,TRANSLATION,normal
COL,3,8,TRANSLATION,normal
2TI,1,3,TRANSLATION,normal
HEB,12,23,TRANSLATION,normal
2PE,3,5,TRANSLATION,normal
REV,12,4,TRANSLATION,normal
REV,14,1,TRANSLATION,normal
