decision,category,strongs,canonical_label,goi_form,kjv_form,webus_form,occurrence_count,unique_target_count,sample_refs,review_note
active_review,divine_name_or_title,H136,ʼĂdônây,LORD,Lord,Lord,151,147,1KI 2:26; 1KI 3:10; 1KI 22:6; 2KI 7:6; NEH 4:8; JOB 28:28; PSA 22:31; PSA 54:6; PSA 66:18; PSA 68:18; PSA 68:20; PSA 68:21,
active_review,divine_name_or_title,H3069,Yᵉhôvih,Lord God,Lord GOD,Lord GOD,142,137,GEN 15:2; DEU 3:24; DEU 9:26; JOS 7:7; JDG 16:28; 2SA 7:19; 2SA 7:20; 2SA 7:28; 2SA 7:29; 1KI 8:53; PSA 71:5; PSA 71:16,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,Jehovah,the LORD,the LORD,113,97,GEN 12:4; GEN 24:31; GEN 24:48; EXO 3:4; EXO 5:2; EXO 8:26; EXO 10:8; EXO 10:18; EXO 10:24; EXO 13:5; EXO 13:11; EXO 16:4,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,the Lord,the LORD,the LORD,113,85,GEN 26:28; GEN 28:16; EXO 7:6; EXO 7:10; EXO 7:20; EXO 8:4; EXO 8:24; EXO 8:25; EXO 9:33; EXO 12:31; EXO 15:21; LEV 2:9,
active_review,divine_name_or_title,H3069,Yᵉhôvih,LORD God,Lord GOD,Lord GOD,101,98,ISA 7:7; ISA 28:16; ISA 40:10; ISA 48:16; ISA 65:13; ISA 65:15; JER 7:20; JER 44:26; EZK 5:7; EZK 5:8; EZK 5:11; EZK 7:5,
active_review,person_or_place,H758,ʼĂrâm,Aram,Syria,Syria,51,49,JDG 10:6; 2SA 8:12; 2SA 15:8; 1KI 10:29; 1KI 11:25; 1KI 15:18; 1KI 19:15; 1KI 20:1; 1KI 20:22; 1KI 20:23; 1KI 22:1; 1KI 22:3,
active_review,person_or_place,H758,ʼĂrâm,Aram,Syrians,Syrians,49,41,2SA 8:6; 2SA 8:13; 2SA 10:6; 2SA 10:8; 2SA 10:9; 2SA 10:11; 2SA 10:13; 2SA 10:15; 2SA 10:16; 2SA 10:17; 2SA 10:18; 2SA 10:19,
active_review,person_or_place,H3091,Yᵉhôwshûwaʻ,Jehoshua,Joshua,Joshua,40,38,EXO 17:10; EXO 17:13; EXO 32:17; NUM 11:28; NUM 32:28; DEU 34:9; JOS 2:1; JOS 3:1; JOS 3:5; JOS 3:6; JOS 3:9; JOS 4:4,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,Jehovah,the LORD,The LORD,37,33,GEN 2:7; GEN 2:8; GEN 2:15; GEN 3:21; GEN 6:6; GEN 11:6; GEN 18:1; GEN 26:24; GEN 29:31; EXO 4:27; EXO 14:26; EXO 19:21,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,Jehovah,O LORD,LORD,32,30,NUM 10:36; 2KI 20:3; EZR 9:15; PSA 3:4; PSA 10:1; PSA 17:1; PSA 25:1; PSA 26:2; PSA 30:11; PSA 35:1; PSA 35:22; PSA 40:14,
active_review,divine_name_or_title,G2962,kýrios,master,lord,lord,29,26,MAT 18:25; MAT 18:27; MAT 18:31; MAT 18:32; MAT 18:34; MAT 24:45; MAT 24:46; MAT 24:48; MAT 24:50; MAT 25:18; MAT 25:19; MAT 25:21,
active_review,person_or_place,H2518,Chilqîyâh,Hillkiah,Hilkiah,Hilkiah,28,25,2KI 18:18; 2KI 18:26; 2KI 18:37; 2KI 22:8; 2KI 22:10; 2KI 22:12; 2KI 22:14; 2KI 23:24; 1CH 5:39; 1CH 6:30; 1CH 9:11; 1CH 26:11,
active_review,person_or_place,H53,ʼĂbîyshâlôwm,Abishalom,Absalom,Absalom,22,19,2SA 13:20; 2SA 13:24; 2SA 13:25; 2SA 13:34; 2SA 14:28; 2SA 14:32; 2SA 14:33; 2SA 15:11; 2SA 15:31; 2SA 16:15; 2SA 16:17; 2SA 16:20,
active_review,person_or_place,H26,ʼĂbîygayil,Abigal,Abigail,Abigail,16,15,1SA 25:3; 1SA 25:14; 1SA 25:18; 1SA 25:23; 1SA 25:32; 1SA 25:36; 1SA 25:40; 1SA 25:42; 1SA 27:3; 1SA 30:5; 2SA 2:2; 2SA 17:25,
