queue,source_ref,mapped_target_refs,classification,strongs,canonical_label,expected_forms,mapped_english
1,GEN 32:33,GEN 32:32,mapped_pass,H3290,Yaʻăqôb,Jacob,"GEN 32:32: Therefore the children of Israel do not eat the sinew which shrank, that is on the thigh joint, to this day, because he touched the joint of Jacob's thigh in the sinew which shrank."
2,GEN 32:33,GEN 32:32,mapped_pass,H3478,Yisrâʼêl,Israel,"GEN 32:32: Therefore the children of Israel do not eat the sinew which shrank, that is on the thigh joint, to this day, because he touched the joint of Jacob's thigh in the sinew which shrank."
3,EXO 7:26,EXO 8:1,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"EXO 8:1: And the LORD said to Moses, Go to Pharaoh and say to him, Thus says the LORD, Let my people go that they may serve me."
4,EXO 7:26,EXO 8:1,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"EXO 8:1: And the LORD said to Moses, Go to Pharaoh and say to him, Thus says the LORD, Let my people go that they may serve me."
5,EXO 7:26,EXO 8:1,mapped_pass,H4872,Môsheh,Moses,"EXO 8:1: And the LORD said to Moses, Go to Pharaoh and say to him, Thus says the LORD, Let my people go that they may serve me."
6,EXO 7:26,EXO 8:1,mapped_pass,H6547,Parʻôh,Pharaoh,"EXO 8:1: And the LORD said to Moses, Go to Pharaoh and say to him, Thus says the LORD, Let my people go that they may serve me."
7,LEV 5:20,LEV 6:1,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"LEV 6:1: The LORD spoke to Moses, saying"
8,LEV 5:20,LEV 6:1,mapped_pass,H4872,Môsheh,Moses,"LEV 6:1: The LORD spoke to Moses, saying"
9,LEV 5:21,LEV 6:2,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"LEV 6:2: Any person who sins and commits a trespass against the LORD, and deals falsely with another in that which was delivered to keep, or in fellowship, or in robbery, or oppresses another."
10,LEV 5:25,LEV 6:6,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"LEV 6:6: and his guilt offering he shall bring to the LORD: a flawless ram from the flock, according to your valuation, for a guilt offering, to the priest."
11,LEV 5:26,LEV 6:7,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"LEV 6:7: And the priest shall make atonement for him before the LORD, and it shall be forgiven him for any of the things whereby he might sin."
12,NUM 17:14,NUM 16:49,mapped_pass,H7141,Qôrach,Korah,"NUM 16:49: The dead by the plague were fourteen thousand and seven hundred, besides the dead on account of the affair of Korah."
13,NUM 17:15,NUM 16:50,mapped_pass,H175,ʼAhărôwn,Aaron,"NUM 16:50: Aaron returned to Moses at the entrance of the tent of meeting, and the plague had been stopped."
14,NUM 17:15,NUM 16:50,mapped_pass,H4872,Môsheh,Moses,"NUM 16:50: Aaron returned to Moses at the entrance of the tent of meeting, and the plague had been stopped."
15,NUM 17:16,NUM 17:1,mapped_pass,H3068,Yᵉhôvâh,Jehovah; the Lord; LORD; O LORD,"NUM 17:1: The LORD spoke to Moses, saying"
16,NUM 17:16,NUM 17:1,mapped_pass,H4872,Môsheh,Moses,"NUM 17:1: The LORD spoke to Moses, saying"
17,NUM 17:17,NUM 17:2,mapped_pass,H3478,Yisrâʼêl,Israel,"NUM 17:2: Speak to the children of Israel and take from them a rod, a rod for a father's house, from each of their princes according to their fathers' houses, twelve rods; each man's name you shall write on his rod."
18,NUM 17:18,NUM 17:3,mapped_pass,H175,ʼAhărôwn,Aaron,"NUM 17:3: And the name of Aaron you shall write upon the tribe of Levi, for one tribe for the chief of their fathers' house."
19,NUM 17:18,NUM 17:3,mapped_pass,H3878,Lêvîy,Levi; See also,"NUM 17:3: And the name of Aaron you shall write upon the tribe of Levi, for one tribe for the chief of their fathers' house."
20,NUM 17:20,NUM 17:5,mapped_pass,H3478,Yisrâʼêl,Israel,"NUM 17:5: And the man whom I choose, his tribe shall sprout, and I will remove from upon me the murmuring of the children of Israel, who are murmuring against you."
21,NUM 17:21,NUM 17:6,mapped_pass,H175,ʼAhărôwn,Aaron,NUM 17:6: Moses spoke to the people of Israel and they gave to him all their princes a staff for each prince a staff for each chief according to their ancestral houses twelve tribes and the staff of Aaron among their tribes
22,NUM 17:21,NUM 17:6,mapped_pass,H3478,Yisrâʼêl,Israel,NUM 17:6: Moses spoke to the people of Israel and they gave to him all their princes a staff for each prince a staff for each chief according to their ancestral houses twelve tribes and the staff of Aaron among their tribes
23,NUM 17:21,NUM 17:6,mapped_pass,H4872,Môsheh,Moses,NUM 17:6: Moses spoke to the people of Israel and they gave to him all their princes a staff for each prince a staff for each chief according to their ancestral houses twelve tribes and the staff of Aaron among their tribes
