goi_ordinal,book,chapter,verse,reference_book,reference_chapter,reference_verse,relation,reason,reviewer,status,similarity
001,GEN,36,41,GEN,36,36:41,exact,address match | low similarity 0.502; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.502
002,EXO,8,1,EXO,7,7:26,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.771
002,EXO,8,2,EXO,7,7:27,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.718
002,EXO,8,3,EXO,7,7:28,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.773
002,EXO,8,4,EXO,7,7:29,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.815
002,EXO,8,5,EXO,8,8:1,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.801
002,EXO,8,6,EXO,8,8:2,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.808
002,EXO,8,7,EXO,8,8:3,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.783
002,EXO,8,8,EXO,8,8:4,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.798
002,EXO,8,9,EXO,8,8:5,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.764
002,EXO,8,10,EXO,8,8:6,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.664
002,EXO,8,11,EXO,8,8:7,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.785
002,EXO,8,12,EXO,8,8:8,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.789
002,EXO,8,13,EXO,8,8:9,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.790
002,EXO,8,14,EXO,8,8:10,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.632
002,EXO,8,15,EXO,8,8:11,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.766
002,EXO,8,16,EXO,8,8:12,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.784
002,EXO,8,17,EXO,8,8:13,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.810
002,EXO,8,18,EXO,8,8:14,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.789
002,EXO,8,19,EXO,8,8:15,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.783
002,EXO,8,20,EXO,8,8:16,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.786
002,EXO,8,21,EXO,8,8:17,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.795
002,EXO,8,22,EXO,8,8:18,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.769
002,EXO,8,23,EXO,8,8:19,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.785
002,EXO,8,24,EXO,8,8:20,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.796
002,EXO,8,25,EXO,8,8:21,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.786
002,EXO,8,26,EXO,8,8:22,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.828
002,EXO,8,27,EXO,8,8:23,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.765
002,EXO,8,28,EXO,8,8:24,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.785
002,EXO,8,29,EXO,8,8:25,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.765
002,EXO,8,30,EXO,8,8:26,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.805
002,EXO,8,31,EXO,8,8:27,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.813
002,EXO,8,32,EXO,8,8:28,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.806
002,EXO,21,25,EXO,21,21:25,exact,address match | low similarity 0.511; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.511
002,EXO,27,14,EXO,27,27:14,exact,address match | low similarity 0.542; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.542
002,EXO,35,17,EXO,35,35:17,exact,address match | low similarity 0.526; hand-reviewed: correct verse; low score from free paraphrase (poetry/lists),Claude (Qwen3 embedding DP),resolved,0.526
003,LEV,6,1,LEV,5,5:20,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.725
003,LEV,6,2,LEV,5,5:21,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.720
003,LEV,6,3,LEV,5,5:22,shifted,chapter/verse boundary differs from KJV; content-aligned,Claude (Qwen3 embedding DP),resolved,0.785
