testament,book,chapter,source,source_verses,russian_verses,match
OT,ZEC,1,WLC,21,21,True
OT,ZEC,2,WLC,13,13,True
OT,ZEC,3,WLC,10,10,True
OT,ZEC,4,WLC,14,14,True
OT,ZEC,5,WLC,11,11,True
OT,ZEC,6,WLC,15,15,True
OT,ZEC,7,WLC,14,14,True
OT,ZEC,8,WLC,23,23,True
OT,ZEC,9,WLC,17,17,True
OT,ZEC,10,WLC,12,12,True
OT,ZEC,11,WLC,17,17,True
OT,ZEC,12,WLC,14,14,True
OT,ZEC,13,WLC,9,9,True
OT,ZEC,14,WLC,21,21,True
OT,DAN,1,WLC,21,21,True
OT,DAN,2,WLC,49,49,True
OT,DAN,3,WLC,30,33,False
OT,DAN,4,WLC,37,34,False
OT,DAN,5,WLC,31,31,True
OT,DAN,6,WLC,28,28,True
OT,DAN,7,WLC,28,28,True
OT,DAN,8,WLC,27,27,True
OT,DAN,9,WLC,27,27,True
OT,DAN,10,WLC,21,21,True
OT,DAN,11,WLC,45,45,True
OT,DAN,12,WLC,13,13,True
OT,HAB,1,WLC,17,17,True
OT,HAB,2,WLC,20,20,True
OT,HAB,3,WLC,19,19,True
OT,2CH,1,WLC,17,17,True
OT,2CH,2,WLC,18,18,True
OT,2CH,3,WLC,17,17,True
OT,2CH,4,WLC,22,22,True
OT,2CH,5,WLC,14,14,True
OT,2CH,6,WLC,42,42,True
OT,2CH,7,WLC,22,22,True
OT,2CH,8,WLC,18,18,True
OT,2CH,9,WLC,31,31,True
OT,2CH,10,WLC,19,19,True
OT,2CH,11,WLC,23,23,True
OT,2CH,12,WLC,16,16,True
OT,2CH,13,WLC,22,22,True
OT,2CH,14,WLC,15,15,True
OT,2CH,15,WLC,19,19,True
OT,2CH,16,WLC,14,14,True
OT,2CH,17,WLC,19,19,True
OT,2CH,18,WLC,34,34,True
OT,2CH,19,WLC,11,11,True
OT,2CH,20,WLC,37,37,True
OT,2CH,21,WLC,20,20,True
OT,2CH,22,WLC,12,12,True
OT,2CH,23,WLC,21,21,True
OT,2CH,24,WLC,27,27,True
OT,2CH,25,WLC,28,28,True
OT,2CH,26,WLC,23,23,True
OT,2CH,27,WLC,9,9,True
OT,2CH,28,WLC,27,27,True
OT,2CH,29,WLC,36,36,True
OT,2CH,30,WLC,27,27,True
OT,2CH,31,WLC,21,21,True
OT,2CH,32,WLC,33,33,True
OT,2CH,33,WLC,25,25,True
OT,2CH,34,WLC,33,33,True
OT,2CH,35,WLC,27,27,True
OT,2CH,36,WLC,23,23,True
OT,LAM,1,WLC,22,22,True
OT,LAM,2,WLC,22,22,True
OT,LAM,3,WLC,66,66,True
OT,LAM,4,WLC,22,22,True
OT,LAM,5,WLC,22,22,True
OT,ECC,1,WLC,18,18,True
OT,ECC,2,WLC,26,26,True
OT,ECC,3,WLC,22,22,True
OT,ECC,4,WLC,16,17,False
OT,ECC,5,WLC,20,19,False
OT,ECC,6,WLC,12,12,True
OT,ECC,7,WLC,29,29,True
OT,ECC,8,WLC,17,17,True
OT,ECC,9,WLC,18,18,True
OT,ECC,10,WLC,20,20,True
