goi_book,goi_chapter,goi_verse,rus_chapter,rus_verse,relation,status,notes
1SA,23,29,24,1,shift,verified,
1SA,24,1,24,2,shift,verified,
1SA,24,2,24,3,shift,verified,
1SA,24,3,24,4,shift,verified,
1SA,24,4,24,5,shift,verified,
1SA,24,5,24,6,shift,verified,
1SA,24,6,24,7,shift,verified,
1SA,24,7,24,8,shift,verified,
1SA,24,8,24,9,shift,verified,
1SA,24,9,24,10,shift,verified,
1SA,24,10,24,11,shift,verified,
1SA,24,11,24,12,shift,verified,
1SA,24,12,24,13,shift,verified,
1SA,24,13,24,14,shift,verified,
1SA,24,14,24,15,shift,verified,
1SA,24,15,24,16,shift,verified,
1SA,24,16,24,17,shift,verified,
1SA,24,17,24,18,shift,verified,
1SA,24,18,24,19,shift,verified,
1SA,24,19,24,20,shift,verified,
1SA,24,20,24,21,shift,verified,
1SA,24,21,24,22,shift,verified,
1SA,24,22,24,23,shift,verified,
DAN,4,1,3,31,shift,verified,
DAN,4,2,3,32,shift,verified,
DAN,4,3,3,33,shift,verified,
DAN,4,4,4,1,shift,verified,
DAN,4,5,4,2,shift,verified,
DAN,4,6,4,3,shift,verified,
DAN,4,7,4,4,shift,verified,
DAN,4,8,4,5,shift,verified,
DAN,4,9,4,6,shift,verified,
DAN,4,10,4,7,shift,verified,
DAN,4,11,4,8,shift,verified,
DAN,4,12,4,9,shift,verified,
DAN,4,13,4,10,shift,verified,
DAN,4,14,4,11,shift,verified,
DAN,4,15,4,12,shift,verified,
DAN,4,16,4,13,shift,verified,
DAN,4,17,4,14,shift,verified,
DAN,4,18,4,15,shift,verified,
DAN,4,19,4,16,shift,verified,
DAN,4,20,4,17,shift,verified,
DAN,4,21,4,18,shift,verified,
DAN,4,22,4,19,shift,verified,
DAN,4,23,4,20,shift,verified,
DAN,4,24,4,21,shift,verified,
DAN,4,25,4,22,shift,verified,
DAN,4,26,4,23,shift,verified,
DAN,4,27,4,24,shift,verified,
DAN,4,28,4,25,shift,verified,
DAN,4,29,4,26,shift,verified,
DAN,4,30,4,27,shift,verified,
DAN,4,31,4,28,shift,verified,
DAN,4,32,4,29,shift,verified,
DAN,4,33,4,30,shift,verified,
DAN,4,34,4,31,shift,verified,
DAN,4,35,4,32,shift,verified,
DAN,4,36,4,33,shift,verified,
DAN,4,37,4,34,shift,verified,
ECC,5,1,4,17,shift,verified,
ECC,5,2,5,1,shift,verified,
ECC,5,3,5,2,shift,verified,
ECC,5,4,5,3,shift,verified,
ECC,5,5,5,4,shift,verified,
ECC,5,6,5,5,shift,verified,
ECC,5,7,5,6,shift,verified,
ECC,5,8,5,7,shift,verified,
ECC,5,9,5,8,shift,verified,
ECC,5,10,5,9,shift,verified,
ECC,5,11,5,10,shift,verified,
ECC,5,12,5,11,shift,verified,
ECC,5,13,5,12,shift,verified,
ECC,5,14,5,13,shift,verified,
ECC,5,15,5,14,shift,verified,
ECC,5,16,5,15,shift,verified,
ECC,5,17,5,16,shift,verified,
ECC,5,18,5,17,shift,verified,
ECC,5,19,5,18,shift,verified,
ECC,5,20,5,19,shift,verified,
HOS,13,16,14,1,shift,verified,
HOS,14,1,14,2,shift,verified,
HOS,14,2,14,3,shift,verified,
HOS,14,3,14,4,shift,verified,
HOS,14,4,14,5,shift,verified,
HOS,14,5,14,6,shift,verified,
HOS,14,6,14,7,shift,verified,
HOS,14,7,14,8,shift,verified,
HOS,14,8,14,9,shift,verified,
HOS,14,9,14,10,shift,verified,
ISA,3,24,3,23,shift,verified,
ISA,3,25,3,24,shift,verified,
ISA,3,26,3,25,shift,verified,
JOB,40,1,39,31,shift,verified,
JOB,40,2,39,32,shift,verified,
JOB,40,3,39,33,shift,verified,
JOB,40,4,39,34,shift,verified,
JOB,40,5,39,35,shift,verified,
JOB,40,6,40,1,shift,verified,
JOB,40,7,40,2,shift,verified,
JOB,40,8,40,3,shift,verified,
JOB,40,9,40,4,shift,verified,
JOB,40,10,40,5,shift,verified,
JOB,40,11,40,6,shift,verified,
JOB,40,12,40,7,shift,verified,
JOB,40,13,40,8,shift,verified,
JOB,40,14,40,9,shift,verified,
JOB,40,15,40,10,shift,verified,
JOB,40,16,40,11,shift,verified,
JOB,40,17,40,12,shift,verified,
JOB,40,18,40,13,shift,verified,
JOB,40,19,40,14,shift,verified,
JOB,40,20,40,15,shift,verified,
JOB,40,21,40,16,shift,verified,
JOB,40,22,40,17,shift,verified,
JOB,40,23,40,18,shift,verified,
JOB,40,24,40,19,shift,verified,
JOB,41,1,40,20,shift,verified,
JOB,41,2,40,21,shift,verified,
JOB,41,3,40,22,shift,verified,
JOB,41,4,40,23,shift,verified,
JOB,41,5,40,24,shift,verified,
JOB,41,6,40,25,shift,verified,
JOB,41,7,40,26,shift,verified,
JOB,41,8,40,27,shift,verified,
JOB,41,9,41,1,shift,verified,
JOB,41,10,41,2,shift,verified,
JOB,41,11,41,3,shift,verified,
JOB,41,12,41,4,shift,verified,
JOB,41,13,41,5,shift,verified,
JOB,41,14,41,6,shift,verified,
JOB,41,15,41,7,shift,verified,
JOB,41,16,41,8,shift,verified,
JOB,41,17,41,9,shift,verified,
JOB,41,18,41,10,shift,verified,
JOB,41,19,41,11,shift,verified,
JOB,41,20,41,12,shift,verified,
JOB,41,21,41,13,shift,verified,
JOB,41,22,41,14,shift,verified,
JOB,41,23,41,15,shift,verified,
JOB,41,24,41,16,shift,verified,
JOB,41,25,41,17,shift,verified,
JOB,41,26,41,18,shift,verified,
JOB,41,27,41,19,shift,verified,
JOB,41,28,41,20,shift,verified,
JOB,41,29,41,21,shift,verified,
JOB,41,30,41,22,shift,verified,
JOB,41,31,41,23,shift,verified,
JOB,41,32,41,24,shift,verified,
JOB,41,33,41,25,shift,verified,
JOB,41,34,41,26,shift,verified,
JON,1,17,2,1,shift,verified,
JON,2,1,2,2,shift,verified,
JON,2,2,2,3,shift,verified,
JON,2,3,2,4,shift,verified,
JON,2,4,2,5,shift,verified,
JON,2,5,2,6,shift,verified,
JON,2,6,2,7,shift,verified,
JON,2,7,2,8,shift,verified,
JON,2,8,2,9,shift,verified,
JON,2,9,2,10,shift,verified,
JON,2,10,2,11,shift,verified,
JOS,6,1,5,16,shift,verified,
JOS,6,2,6,1,shift,verified,
JOS,6,3,6,2,shift,verified,
JOS,6,4,6,3,shift,verified,
JOS,6,5,6,4,shift,verified,
JOS,6,6,6,5,shift,verified,
JOS,6,7,6,6,shift,verified,
JOS,6,8,6,7,shift,verified,
JOS,6,9,6,8,shift,verified,
JOS,6,10,6,9,shift,verified,
JOS,6,11,6,10,shift,verified,
JOS,6,12,6,11,shift,verified,
JOS,6,13,6,12,shift,verified,
JOS,6,14,6,13,shift,verified,
JOS,6,15,6,14,shift,verified,
JOS,6,16,6,15,shift,verified,
JOS,6,17,6,16,shift,verified,
JOS,6,18,6,17,shift,verified,
JOS,6,19,6,18,shift,verified,
JOS,6,20,6,19,shift,verified,
JOS,6,21,6,20,shift,verified,
JOS,6,22,6,21,shift,verified,
JOS,6,23,6,22,shift,verified,
JOS,6,24,6,23,shift,verified,
JOS,6,25,6,24,shift,verified,
JOS,6,26,6,25,shift,verified,
JOS,6,27,6,26,shift,verified,
NUM,12,16,13,1,shift,verified,
NUM,13,1,13,2,shift,verified,
NUM,13,2,13,3,shift,verified,
NUM,13,3,13,4,shift,verified,
NUM,13,4,13,5,shift,verified,
NUM,13,5,13,6,shift,verified,
NUM,13,6,13,7,shift,verified,
NUM,13,7,13,8,shift,verified,
NUM,13,8,13,9,shift,verified,
NUM,13,9,13,10,shift,verified,
NUM,13,10,13,11,shift,verified,
NUM,13,11,13,12,shift,verified,
NUM,13,12,13,13,shift,verified,
NUM,13,13,13,14,shift,verified,
NUM,13,14,13,15,shift,verified,
NUM,13,15,13,16,shift,verified,
NUM,13,16,13,17,shift,verified,
NUM,13,17,13,18,shift,verified,
NUM,13,18,13,19,shift,verified,
NUM,13,19,13,20,shift,verified,
NUM,13,20,13,21,shift,verified,
NUM,13,21,13,22,shift,verified,
NUM,13,22,13,23,shift,verified,
NUM,13,23,13,24,shift,verified,
NUM,13,24,13,25,shift,verified,
NUM,13,25,13,26,shift,verified,
NUM,13,26,13,27,shift,verified,
NUM,13,27,13,28,shift,verified,
NUM,13,28,13,29,shift,verified,
NUM,13,29,13,30,shift,verified,
NUM,13,30,13,31,shift,verified,
NUM,13,31,13,32,shift,verified,
NUM,13,32,13,33,shift,verified,
NUM,13,33,13,34,shift,verified,
NUM,29,40,30,1,shift,verified,
NUM,30,1,30,2,shift,verified,
NUM,30,2,30,3,shift,verified,
NUM,30,3,30,4,shift,verified,
NUM,30,4,30,5,shift,verified,
NUM,30,5,30,6,shift,verified,
NUM,30,6,30,7,shift,verified,
NUM,30,7,30,8,shift,verified,
NUM,30,8,30,9,shift,verified,
NUM,30,9,30,10,shift,verified,
NUM,30,10,30,11,shift,verified,
NUM,30,11,30,12,shift,verified,
NUM,30,12,30,13,shift,verified,
NUM,30,13,30,14,shift,verified,
NUM,30,14,30,15,shift,verified,
NUM,30,15,30,16,shift,verified,
NUM,30,16,30,17,shift,verified,
PRO,13,14,13,15,shift,verified,
PRO,13,15,13,16,shift,verified,
