book,chapter,expected_verses,actual_verses,match
GEN,1,31,31,True
GEN,2,25,25,True
GEN,3,24,24,True
GEN,4,26,26,True
GEN,5,32,32,True
GEN,6,22,22,True
GEN,7,24,24,True
GEN,8,22,22,True
GEN,9,29,29,True
GEN,10,32,32,True
GEN,11,32,32,True
GEN,12,20,20,True
GEN,13,18,18,True
GEN,14,24,24,True
GEN,15,21,21,True
GEN,16,16,16,True
GEN,17,27,27,True
GEN,18,33,33,True
GEN,19,38,38,True
GEN,20,18,18,True
GEN,21,34,34,True
GEN,22,24,24,True
GEN,23,20,20,True
GEN,24,67,67,True
GEN,25,34,34,True
GEN,26,35,35,True
GEN,27,46,46,True
GEN,28,22,22,True
GEN,29,35,35,True
GEN,30,43,43,True
GEN,31,55,55,True
GEN,32,32,32,True
GEN,33,20,20,True
GEN,34,31,31,True
GEN,35,29,29,True
GEN,36,43,43,True
GEN,37,36,36,True
GEN,38,30,30,True
GEN,39,23,23,True
GEN,40,23,23,True
GEN,41,57,57,True
GEN,42,38,38,True
GEN,43,34,34,True
GEN,44,34,34,True
GEN,45,28,28,True
GEN,46,34,34,True
GEN,47,31,31,True
GEN,48,22,22,True
GEN,49,33,33,True
GEN,50,26,26,True
EXO,1,22,22,True
EXO,2,25,25,True
EXO,3,22,22,True
EXO,4,31,31,True
EXO,5,23,23,True
EXO,6,30,30,True
EXO,7,25,25,True
EXO,8,32,32,True
EXO,9,35,35,True
EXO,10,29,29,True
EXO,11,10,10,True
EXO,12,51,51,True
EXO,13,22,22,True
EXO,14,31,31,True
EXO,15,27,27,True
EXO,16,36,36,True
EXO,17,16,16,True
EXO,18,27,27,True
EXO,19,25,25,True
EXO,20,26,26,True
EXO,21,36,36,True
EXO,22,31,31,True
EXO,23,33,33,True
EXO,24,18,18,True
EXO,25,40,40,True
EXO,26,37,37,True
EXO,27,21,21,True
EXO,28,43,43,True
EXO,29,46,46,True
EXO,30,38,38,True
EXO,31,18,18,True
EXO,32,35,35,True
EXO,33,23,23,True
EXO,34,35,35,True
EXO,35,35,35,True
EXO,36,38,38,True
EXO,37,29,29,True
EXO,38,31,31,True
EXO,39,43,43,True
EXO,40,38,38,True
LEV,1,17,17,True
LEV,2,16,16,True
LEV,3,17,17,True
LEV,4,35,35,True
LEV,5,19,19,True
LEV,6,30,30,True
LEV,7,38,38,True
LEV,8,36,36,True
LEV,9,24,24,True
LEV,10,20,20,True
LEV,11,47,47,True
LEV,12,8,8,True
LEV,13,59,59,True
LEV,14,57,57,True
LEV,15,33,33,True
LEV,16,34,34,True
LEV,17,16,16,True
LEV,18,30,30,True
LEV,19,37,37,True
LEV,20,27,27,True
LEV,21,24,24,True
LEV,22,33,33,True
LEV,23,44,44,True
LEV,24,23,23,True
LEV,25,55,55,True
LEV,26,46,46,True
LEV,27,34,34,True
NUM,1,54,54,True
NUM,2,34,34,True
NUM,3,51,51,True
NUM,4,49,49,True
NUM,5,31,31,True
NUM,6,27,27,True
NUM,7,89,89,True
NUM,8,26,26,True
NUM,9,23,23,True
NUM,10,36,36,True
NUM,11,35,35,True
NUM,12,16,16,True
NUM,13,33,33,True
NUM,14,45,45,True
NUM,15,41,41,True
NUM,16,50,50,True
NUM,17,13,13,True
NUM,18,32,32,True
NUM,19,22,22,True
NUM,20,29,29,True
NUM,21,35,35,True
NUM,22,41,41,True
NUM,23,30,30,True
NUM,24,25,25,True
NUM,25,18,18,True
NUM,26,65,65,True
NUM,27,23,23,True
NUM,28,31,31,True
NUM,29,40,40,True
NUM,30,16,16,True
NUM,31,54,54,True
NUM,32,42,42,True
NUM,33,56,56,True
NUM,34,29,29,True
NUM,35,34,34,True
NUM,36,13,13,True
DEU,1,46,46,True
DEU,2,37,37,True
DEU,3,29,29,True
DEU,4,49,49,True
DEU,5,33,33,True
DEU,6,25,25,True
DEU,7,26,26,True
DEU,8,20,20,True
DEU,9,29,29,True
DEU,10,22,22,True
DEU,11,32,32,True
DEU,12,32,32,True
DEU,13,18,18,True
DEU,14,29,29,True
DEU,15,23,23,True
DEU,16,22,22,True
DEU,17,20,20,True
DEU,18,22,22,True
DEU,19,21,21,True
DEU,20,20,20,True
DEU,21,23,23,True
DEU,22,30,30,True
DEU,23,25,25,True
DEU,24,22,22,True
DEU,25,19,19,True
DEU,26,19,19,True
DEU,27,26,26,True
DEU,28,68,68,True
DEU,29,29,29,True
DEU,30,20,20,True
DEU,31,30,30,True
DEU,32,52,52,True
DEU,33,29,29,True
DEU,34,12,12,True
JOS,1,18,18,True
JOS,2,24,24,True
JOS,3,17,17,True
JOS,4,24,24,True
JOS,5,15,15,True
JOS,6,27,27,True
JOS,7,26,26,True
JOS,8,35,35,True
JOS,9,27,27,True
JOS,10,43,43,True
JOS,11,23,23,True
JOS,12,24,24,True
JOS,13,33,33,True
JOS,14,15,15,True
JOS,15,63,63,True
JOS,16,10,10,True
JOS,17,18,18,True
JOS,18,28,28,True
JOS,19,51,51,True
JOS,20,9,9,True
JOS,21,45,45,True
JOS,22,34,34,True
JOS,23,16,16,True
JOS,24,33,33,True
JDG,1,36,36,True
JDG,2,23,23,True
JDG,3,31,31,True
JDG,4,24,24,True
JDG,5,31,31,True
