goi_book,goi_chapter,goi_verse,rus_chapter,rus_verse,relation,status,notes
PSA,1,1,1,1,direct,proposed,
PSA,1,2,1,2,direct,proposed,
PSA,1,3,1,3,direct,proposed,
PSA,1,4,1,4,direct,proposed,
PSA,1,5,1,5,direct,proposed,
PSA,1,6,1,6,direct,proposed,
PSA,2,1,2,1,direct,proposed,
PSA,2,2,2,2,direct,proposed,
PSA,2,3,2,3,direct,proposed,
PSA,2,4,2,4,direct,proposed,
PSA,2,5,2,5,direct,proposed,
PSA,2,6,2,6,direct,proposed,
PSA,2,7,2,7,direct,proposed,
PSA,2,8,2,8,direct,proposed,
PSA,2,9,2,9,direct,proposed,
PSA,2,10,2,10,direct,proposed,
PSA,2,11,2,11,direct,proposed,
PSA,2,12,2,12,direct,proposed,
PSA,3,,3,1,title,proposed,Russian superscription verse(s) with no KJV counterpart
PSA,3,1,3,2,title-shifted,proposed,
PSA,3,2,3,3,title-shifted,proposed,
PSA,3,3,3,4,title-shifted,proposed,
PSA,3,4,3,5,title-shifted,proposed,
PSA,3,5,3,6,title-shifted,proposed,
PSA,3,6,3,7,title-shifted,proposed,
PSA,3,7,3,8,title-shifted,proposed,
PSA,3,8,3,9,title-shifted,proposed,
PSA,4,,4,1,title,proposed,Russian superscription verse(s) with no KJV counterpart
PSA,4,1,4,2,title-shifted,proposed,
PSA,4,2,4,3,title-shifted,proposed,
PSA,4,3,4,4,title-shifted,proposed,
PSA,4,4,4,5,title-shifted,proposed,
PSA,4,5,4,6,title-shifted,proposed,
PSA,4,6,4,7,title-shifted,proposed,
PSA,4,7,4,8,title-shifted,proposed,
PSA,4,8,4,9,title-shifted,proposed,
PSA,5,,5,1,title,proposed,Russian superscription verse(s) with no KJV counterpart
PSA,5,1,5,2,title-shifted,proposed,
PSA,5,2,5,3,title-shifted,proposed,
PSA,5,3,5,4,title-shifted,proposed,
PSA,5,4,5,5,title-shifted,proposed,
PSA,5,5,5,6,title-shifted,proposed,
PSA,5,6,5,7,title-shifted,proposed,
PSA,5,7,5,8,title-shifted,proposed,
PSA,5,8,5,9,title-shifted,proposed,
PSA,5,9,5,10,title-shifted,proposed,
PSA,5,10,5,11,title-shifted,proposed,
PSA,5,11,5,12,title-shifted,proposed,
PSA,5,12,5,13,title-shifted,proposed,
PSA,6,,6,1,title,proposed,Russian superscription verse(s) with no KJV counterpart
PSA,6,1,6,2,title-shifted,proposed,
PSA,6,2,6,3,title-shifted,proposed,
PSA,6,3,6,4,title-shifted,proposed,
PSA,6,4,6,5,title-shifted,proposed,
PSA,6,5,6,6,title-shifted,proposed,
PSA,6,6,6,7,title-shifted,proposed,
PSA,6,7,6,8,title-shifted,proposed,
PSA,6,8,6,9,title-shifted,proposed,
PSA,6,9,6,10,title-shifted,proposed,
PSA,6,10,6,11,title-shifted,proposed,
PSA,7,,7,1,title,proposed,Russian superscription verse(s) with no KJV counterpart
PSA,7,1,7,2,title-shifted,proposed,
PSA,7,2,7,3,title-shifted,proposed,
PSA,7,3,7,4,title-shifted,proposed,
PSA,7,4,7,5,title-shifted,proposed,
PSA,7,5,7,6,title-shifted,proposed,
PSA,7,6,7,7,title-shifted,proposed,
