strongs_num,strongs_id,lemma,translit,english_default,definition,occurrences,lang,existing_rendering,proposed_rendering,status,notes
2316,G2316,θεός,theós,God,":--X exceeding,  God, god(-ly, -ward).",1343,vi,,Đức Chúa Trời,needs_review,
2424,G2424,Ἰησοῦς,Iēsoûs,Jesus,:--Jesus.,975,vi,,Chúa Giê-xu,needs_review,
2962,G2962,κύριος,kýrios,Lord,":-- God,  Lord, master, Sir.",747,vi,,Chúa,needs_review,
5547,G5547,Χριστός,Christós,Christ,:--Christ.,569,vi,,Đấng Christ,needs_review,
444,G444,ἄνθρωπος,ánthrōpos,man,":--certain, man.",559,vi,,người,needs_review,
3962,G3962,πατήρ,patḗr,Father,":--father, parent.",418,vi,,Cha,needs_review,
2250,G2250,ἡμέρα,hēméra,day,":--age, + alway, (mid-)day (by day, (-ly)), +  for ever, judgment, (day) time, while, years.",389,vi,,ngày,needs_review,
4151,G4151,πνεῦμα,pneûma,Spirit,":--ghost, life, spirit(-ual, -ually), mind.",385,vi,,Thánh Linh,needs_review,
5207,G5207,υἱός,huiós,Son,":--child, foal,  son.",381,vi,,Con,needs_review,
80,G80,ἀδελφός,adelphós,brother,:--brother.,346,vi,,anh em,needs_review,
3056,G3056,λόγος,lógos,word,":--account, cause,  communication, X concerning, doctrine, fame, X have to do, intent,  matter, mouth, preaching, question, reason, + reckon, remove,  say(-ing), shew, X speaker, speech, talk, thing, + none of these  things move me, tidings, treatise, utterance, word, work.",330,vi,,lời,needs_review,
3772,G3772,οὐρανός,ouranós,heaven,":--air, heaven(-ly), sky.",284,vi,,trời,needs_review,
3101,G3101,μαθητής,mathētḗs,disciple,:--disciple.,269,vi,,môn đồ,needs_review,
1093,G1093,γῆ,gē,earth,":--country, earth(-ly), ground, land, world.",252,vi,,đất,needs_review,
4102,G4102,πίστις,pístis,faith,":--assurance, belief, believe, faith, fidelity.",244,vi,,đức tin,needs_review,
3686,G3686,ὄνομα,ónoma,name,":--called, (+  sur-)name(-d).",229,vi,,danh,needs_review,
1135,G1135,γυνή,gynḗ,wife,":--wife,  woman.",221,vi,,vợ,needs_review,
435,G435,ἀνήρ,anḗr,man,":--fellow, husband, man, sir.",215,vi,,người,needs_review,
3551,G3551,νόμος,nómos,law,:--law.,197,vi,,luật,needs_review,
2889,G2889,κόσμος,kósmos,world,":--adorning, world.",187,vi,,thế gian,needs_review,
32,G32,ἄγγελος,ángelos,angel,":--angel, messenger.",185,vi,,thiên sứ,needs_review,
5495,G5495,χείρ,cheír,hand,:--hand.,179,vi,,tay,needs_review,
2041,G2041,ἔργον,érgon,work,":--deed, doing, labour, work.",176,vi,,công việc,needs_review,
3793,G3793,ὄχλος,óchlos,crowd,":--company, multitude, number (of people), people,  press.",175,vi,,đám đông,needs_review,
266,G266,ἁμαρτία,hamartía,sin,":--offence, sin(-ful).",174,vi,,tội lỗi,needs_review,
1391,G1391,δόξα,dóxa,glory,":--dignity,  glory(-ious), honour, praise, worship.",168,vi,,vinh hiển,needs_review,
1484,G1484,ἔθνος,éthnos,nation,":--Gentile, heathen, nation, people.",164,vi,,dân ngoại,needs_review,
3972,G3972,Παῦλος,Paûlos,Paul,":--Paul, Paulus.",164,vi,,Phao-lô,needs_review,
4172,G4172,πόλις,pólis,city,:--city.,164,vi,,thành,needs_review,
932,G932,βασιλεία,basileía,kingdom,":--kingdom,  + reign.",162,vi,,nước,needs_review,
4074,G4074,Πέτρος,Pétros,Peter,":--Peter, rock.",162,vi,,Phi-e-rơ,needs_review,
2588,G2588,καρδία,kardía,heart,:--(+ broken-)heart(-ed).,160,vi,,lòng,needs_review,
5485,G5485,χάρις,cháris,grace,":--acceptable, benefit, favour, gift, grace(- ious), joy,  liberality, pleasure, thank(-s, -worthy).",156,vi,,ân điển,needs_review,
4561,G4561,σάρξ,sárx,flesh,":--carnal(-ly, + -ly minded),  flesh(-ly).",151,vi,,xác thịt,needs_review,
4396,G4396,προφήτης,prophḗtēs,prophet,:--prophet.,149,vi,,nhà tiên tri,needs_review,
4983,G4983,σῶμα,sōma,body,":--bodily, body, slave.",146,vi,,thân thể,needs_review,
2992,G2992,λαός,laós,people,:--people.,143,vi,,dân,needs_review,
5456,G5456,φωνή,phōnḗ,voice,":--noise, sound, voice.",141,vi,,tiếng,needs_review,
2222,G2222,ζωή,zōḗ,life,:--life(-time).,134,vi,,sự sống,needs_review,
2491,G2491,Ἰωάννης,Iōánnēs,John,:--John.,133,vi,,Giăng,needs_review,
165,G165,αἰών,aiṓn,age,":--age, course, eternal, (for) ever(-more),  (n-)ever, (beginning of the , while the) world (began, without end).",128,vi,,đời,needs_review,
1401,G1401,δοῦλος,doûlos,servant,":--bond(-man), servant.",125,vi,,đầy tớ,needs_review,
749,G749,ἀρχιερεύς,archiereús,high priest,":--chief (high) priest, chief of  the priests.",123,vi,,thầy tế lễ cả,needs_review,
1411,G1411,δύναμις,dýnamis,power,":--ability, abundance,  meaning, might(-ily, -y, -y deed), (worker of) miracle(-s), power,  strength, violence, mighty (wonderful) work.",120,vi,,quyền năng,needs_review,
2288,G2288,θάνατος,thánatos,death,":--X deadly, (be…) death.",119,vi,,sự chết,needs_review,
935,G935,βασιλεύς,basileús,king,:--king.,118,vi,,vua,needs_review,
1577,G1577,ἐκκλησία,ekklēsía,church,":--assembly, church.",117,vi,,Hội thánh,needs_review,
26,G26,ἀγάπη,agápē,love,":--(feast of) charity(-ably), dear, love.",116,vi,,tình yêu thương,needs_review,
3624,G3624,οἶκος,oîkos,house,":--home, house(-hold), temple.",114,vi,,nhà,needs_review,
225,G225,ἀλήθεια,alḗtheia,truth,":--true, X truly, truth, verity.",110,vi,,lẽ thật,needs_review,
5610,G5610,ὥρα,hṓra,hour,":--day, hour, instant, season, X short, (even-)tide,  (high) time.",108,vi,,giờ,needs_review,
5590,G5590,ψυχή,psychḗ,soul,":--heart (+ -ily), life, mind, soul, + us, + you.",105,vi,,linh hồn,needs_review,
1849,G1849,ἐξουσία,exousía,authority,":--authority, jurisdiction, liberty, power, right,  strength.",103,vi,,quyền,needs_review,
3598,G3598,ὁδός,hodós,way,":--journey,  (high-)way.",102,vi,,đường,needs_review,
3788,G3788,ὀφθαλμός,ophthalmós,eye,":--eye,  sight.",102,vi,,mắt,needs_review,
5330,G5330,Φαρισαῖος,Pharisaîos,Pharisee,:--Pharisee.,100,vi,,Người Pha-ri-si,needs_review,
129,G129,αἷμα,haîma,blood,:--blood.,99,vi,,máu,needs_review,
740,G740,ἄρτος,ártos,bread,":--(shew-)bread, loaf.",99,vi,,bánh,needs_review,
5043,G5043,τέκνον,téknon,child,":--child, daughter, son.",99,vi,,con cái,needs_review,
3614,G3614,οἰκία,oikía,house,":--home, house(-hold).",95,vi,,nhà,needs_review,
4228,G4228,πούς,poús,foot,:--foot(-stool).,93,vi,,chân,needs_review,
1343,G1343,δικαιοσύνη,dikaiosýnē,righteousness,:--righteousness.,92,vi,,sự công bình,needs_review,
1515,G1515,εἰρήνη,eirḗnē,peace,":--one, peace, quietness,  rest, + set at one again.",92,vi,,bình an,needs_review,
2281,G2281,θάλασσα,thálassa,sea,:--sea.,92,vi,,biển,needs_review,
5117,G5117,τόπος,tópos,place,":--coast, licence, place, X plain,  quarter, + rock, room, where.",92,vi,,nơi,needs_review,
2540,G2540,καιρός,kairós,time,":--X  always, opportunity, (convenient, due) season, (due, short, while)  time, a while.",87,vi,,thời điểm,needs_review,
3384,G3384,μήτηρ,mḗtēr,mother,:--mother.,85,vi,,mẹ,needs_review,
2419,G2419,Ἱερουσαλήμ,Hierousalḗm,Jerusalem,:--Jerusalem.,83,vi,,Giê-ru-sa-lem,needs_review,
652,G652,ἀπόστολος,apóstolos,apostle,":--apostle, messenger, he that is sent.",81,vi,,Sứ đồ,needs_review,
3475,G3475,Μωσεύς,Mōseús,Moses,:--Moses.,80,vi,,Môi-se,needs_review,
4750,G4750,στόμα,stóma,mouth,":--edge, face, mouth.",79,vi,,miệng,needs_review,
4383,G4383,πρόσωπον,prósōpon,face,":--(outward) appearance, X before,  countenance, face, fashion, (men's) person, presence.",78,vi,,mặt,needs_review,
5204,G5204,ὕδωρ,hýdōr,water,:--water.,78,vi,,nước,needs_review,
2098,G2098,εὐαγγέλιον,euangélion,gospel,:--gospel.,77,vi,,Tin Lành,needs_review,
4592,G4592,σημεῖον,sēmeîon,sign,":--miracle, sign, token,  wonder.",77,vi,,dấu,needs_review,
2776,G2776,κεφαλή,kephalḗ,head,:--head.,76,vi,,đầu,needs_review,
4613,G4613,Σίμων,Símōn,Simon,:--Simon.,75,vi,,Si-môn,needs_review,
4442,G4442,πῦρ,pŷr,fire,":--fiery, fire.",74,vi,,lửa,needs_review,
11,G11,Ἀβραάμ,Abraám,Abraham,:--Abraham.,73,vi,,Áp-ra-ham,needs_review,
1785,G1785,ἐντολή,entolḗ,commandment,":--commandment, precept.",71,vi,,điều răn,needs_review,
2411,G2411,ἱερόν,hierón,temple,:--temple.,71,vi,,đền thờ,needs_review,
2474,G2474,Ἰσραήλ,Israḗl,Israel,:--Israel.,70,vi,,Y-sơ-ra-ên,needs_review,
4487,G4487,ῥῆμα,rhēma,word,":--+ evil, + nothing, saying,  word.",70,vi,,lời,needs_review,
5457,G5457,φῶς,phōs,light,":--fire,  light.",70,vi,,ánh sáng,needs_review,
4521,G4521,σάββατον,sábbaton,Sabbath,":--sabbath  (day), week.",68,vi,,ngày Sa-bát,needs_review,
1122,G1122,γραμματεύς,grammateús,scribe,":--scribe, town-clerk.",67,vi,,thầy thông giáo,needs_review,
4143,G4143,πλοῖον,ploîon,boat,:--ship(-ing).,67,vi,,thuyền,needs_review,
2590,G2590,καρπός,karpós,fruit,:--fruit.,66,vi,,trái,needs_review,
3571,G3571,νύξ,nýx,night,:-- (mid-)night.,65,vi,,đêm,needs_review,
3735,G3735,ὄρος,óros,mountain,":--hill,  mount(-ain).",65,vi,,núi,needs_review,
2307,G2307,θέλημα,thélēma,will,":-- desire, pleasure,  will.",64,vi,,ý muốn,needs_review,
1056,G1056,Γαλιλαία,Galilaía,Galilee,:--Galilee.,63,vi,,Ga-li-lê,needs_review,
2440,G2440,ἱμάτιον,himátion,garment,":--apparel, cloke, clothes, garment, raiment, robe, vesture.",62,vi,,áo,needs_review,
2362,G2362,θρόνος,thrónos,throne,":--seat, throne.",61,vi,,ngôi,needs_review,
1140,G1140,δαιμόνιον,daimónion,demon,":--devil, god.",60,vi,,ma quỷ,needs_review,
3037,G3037,λίθος,líthos,stone,":--(mill-, stumbling-)stone.",60,vi,,đá,needs_review,
1138,G1138,Δαβίδ,Dabíd,David,:--David.,59,vi,,Đa-vít,needs_review,
2414,G2414,Ἱεροσόλυμα,Hierosólyma,Jerusalem,:--Jerusalem.,59,vi,,Giê-ru-sa-lem,needs_review,
5479,G5479,χαρά,chará,joy,":--gladness, X greatly, (X  be exceeding) joy(-ful, -fully, -fulness, -ous).",59,vi,,niềm vui,needs_review,
746,G746,ἀρχή,archḗ,beginning,":--beginning,  corner, (at the, the) first (estate), magistrate, power, principality,  principle, rule.",58,vi,,sự ban đầu,needs_review,
1320,G1320,διδάσκαλος,didáskalos,teacher,":--doctor,  master, teacher.",58,vi,,thầy,needs_review,
4864,G4864,συναγωγή,synagōgḗ,synagogue,":--assembly, congregation, synagogue.",57,vi,,nhà hội,needs_review,
4091,G4091,Πιλᾶτος,Pilâtos,Pilate,:--Pilate.,55,vi,,Phi-lát,needs_review,
1680,G1680,ἐλπίς,elpís,hope,":--faith, hope.",54,vi,,hy vọng,needs_review,
3137,G3137,Μαρία,María,Mary,:-- Mary.,54,vi,,Ma-ri,needs_review,
1860,G1860,ἐπαγγελία,epangelía,promise,":--message, promise.",53,vi,,lời hứa,needs_review,
5550,G5550,χρόνος,chrónos,time,":--+ years old, season, space, (X often-)time(-s), (a) while.",53,vi,,thời gian,needs_review,
1124,G1124,γραφή,graphḗ,Scripture,:--scripture.,51,vi,,Kinh Thánh,needs_review,
3813,G3813,παιδίον,paidíon,child,":--(little, young) child, damsel.",51,vi,,con trẻ,needs_review,
4678,G4678,σοφία,sophía,wisdom,:--wisdom.,51,vi,,sự khôn ngoan,needs_review,
1100,G1100,γλῶσσα,glōssa,tongue,:--tongue.,50,vi,,lưỡi,needs_review,
3850,G3850,παραβολή,parabolḗ,parable,":--comparison, figure, parable, proverb.",50,vi,,dụ ngôn,needs_review,
2094,G2094,ἔτος,étos,year,:--year.,49,vi,,năm,needs_review,
5532,G5532,χρεία,chreía,need,":--business,  lack, necessary(-ity), need(-ful), use, want.",49,vi,,sự cần dùng,needs_review,
2920,G2920,κρίσις,krísis,judgment,":--accusation, condemnation, damnation, judgment.",48,vi,,sự phán xét,needs_review,
5401,G5401,φόβος,phóbos,fear,":--be  afraid, + exceedingly, fear, terror.",47,vi,,sự sợ hãi,needs_review,
5438,G5438,φυλακή,phylakḗ,prison,":--cage, hold,  (im-)prison(-ment), ward, watch.",47,vi,,ngục,needs_review,
2342,G2342,θηρίον,thēríon,beast,":--(venomous,  wild) beast.",46,vi,,con thú,needs_review,
3485,G3485,ναός,naós,temple,":--shrine,  temple.",46,vi,,đền thờ,needs_review,
2347,G2347,θλῖψις,thlîpsis,tribulation,":--afflicted(-tion),  anguish, burdened, persecution, tribulation, trouble.",45,vi,,hoạn nạn,needs_review,
4991,G4991,σωτηρία,sōtēría,salvation,":--deliver, health, salvation, save,  saving.",45,vi,,sự cứu rỗi,needs_review,
2264,G2264,Ἡρώδης,Hērṓdēs,Herod,:--Herod.,44,vi,,Hê-rốt,needs_review,
4690,G4690,σπέρμα,spérma,seed,":--issue, seed.",44,vi,,hạt giống,needs_review,
2449,G2449,Ἰουδαία,Ioudaía,Judea,:--Judæa.,43,vi,,Giu-đê,needs_review,
3313,G3313,μέρος,méros,part,":--behalf, course, coast, craft, particular (+  -ly), part (+ -ly), piece, portion, respect, side, some sort(-what).",43,vi,,phần,needs_review,
5092,G5092,τιμή,timḗ,honor,":--honour, precious, price, some.",43,vi,,vinh dự,needs_review,
386,G386,ἀνάστασις,anástasis,resurrection,":--raised to  life again, resurrection, rise from the dead, that should rise, rising  again.",42,vi,,sự sống lại,needs_review,
1074,G1074,γενεά,geneá,generation,":--age, generation, nation, time.",42,vi,,dòng dõi,needs_review,
2385,G2385,Ἰάκωβος,Iákōbos,James,:--James.,42,vi,,Gia-cơ,needs_review,
3419,G3419,μνημεῖον,mnēmeîon,tomb,":--grave,  sepulchre, tomb.",42,vi,,mộ,needs_review,
