timestamp,version,book,chapter,verse,apparatus_type,content,dry_run
2026-05-17T17:15:26.365866,WLC,1KI,23,1,CHAPTER_BOUNDARY,וַֽיַּעֲבֹד֙ אֶת־ הַבַּ֔עַל וַיִּֽשְׁתַּחֲוֶ֖ה ל֑וֹ וַיַּכְעֵ֗ס אֶת־ יְהוָה֙ אֱל,False
2026-05-17T17:15:26.366081,WLC,PSA,3,9,SUPERSCRIPTION,לַיהוָ֥ה הַיְשׁוּעָ֑ה עַֽל־ עַמְּךָ֖ בִרְכָתֶ֣ךָ סֶּֽלָה׃,False
2026-05-17T17:15:26.366126,WLC,PSA,4,9,SUPERSCRIPTION,בְּשָׁל֣וֹם יַחְדָּו֮ אֶשְׁכְּבָ֢ה וְאִ֫ישָׁ֥ן כִּֽי־ אַתָּ֣ה יְהוָ֣ה לְבָדָ֑ד ל,False
2026-05-17T17:15:26.366158,WLC,PSA,5,13,SUPERSCRIPTION,כִּֽי־ אַתָּה֮ תְּבָרֵ֢ךְ צַ֫דִּ֥יק יְהוָ֑ה כַּ֝צִּנָּ֗ה רָצ֥וֹן תַּעְטְרֶֽנּוּ׃,False
2026-05-17T17:15:26.366185,WLC,PSA,6,11,SUPERSCRIPTION,יֵבֹ֤שׁוּ ׀ וְיִבָּהֲל֣וּ מְ֭אֹד כָּל־ אֹיְבָ֑י יָ֝שֻׁ֗בוּ יֵבֹ֥שׁוּ רָֽגַע׃,False
2026-05-17T17:15:26.366251,WLC,PSA,7,18,SUPERSCRIPTION,אוֹדֶ֣ה יְהוָ֣ה כְּצִדְק֑וֹ וַ֝אֲזַמְּרָ֗ה שֵֽׁם־ יְהוָ֥ה עֶלְיֽוֹן׃,False
2026-05-17T17:15:26.366281,WLC,PSA,8,10,SUPERSCRIPTION,יְהוָ֥ה אֲדֹנֵ֑ינוּ מָֽה־ אַדִּ֥יר שִׁ֝מְךָ֗ בְּכָל־ הָאָֽרֶץ׃,False
2026-05-17T17:15:26.366307,WLC,PSA,9,21,SUPERSCRIPTION,שִׁ֘יתָ֤ה יְהוָ֨ה ׀ מוֹרָ֗ה לָ֫הֶ֥ם יֵדְע֥וּ גוֹיִ֑ם אֱנ֖וֹשׁ הֵ֣מָּה סֶּֽלָה׃,False
2026-05-17T17:15:26.366331,WLC,PSA,12,9,SUPERSCRIPTION,סָבִ֗יב רְשָׁעִ֥ים יִתְהַלָּכ֑וּן כְּרֻ֥ם זֻ֝לּ֗וּת לִבְנֵ֥י אָדָֽם׃,False
2026-05-17T17:15:26.366356,WLC,PSA,18,51,SUPERSCRIPTION,יְשׁוּע֢וֹת מַ֫לְכּ֥וֹ וְעֹ֤שֶׂה חֶ֨סֶד ׀ לִמְשִׁיח֗וֹ לְדָוִ֥ד וּלְזַרְע֗וֹ עַד,False
