side,reference,book,chapter,verse,category,note
WLC_ONLY,1CH 5:27,1CH,5,27,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:28,1CH,5,28,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:29,1CH,5,29,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:30,1CH,5,30,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:31,1CH,5,31,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:32,1CH,5,32,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:33,1CH,5,33,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:34,1CH,5,34,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:35,1CH,5,35,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:36,1CH,5,36,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:37,1CH,5,37,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:38,1CH,5,38,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:39,1CH,5,39,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:40,1CH,5,40,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 5:41,1CH,5,41,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1CH 12:41,1CH,12,41,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1KI 5:19,1KI,5,19,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1KI 5:20,1KI,5,20,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1KI 5:21,1KI,5,21,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1KI 5:22,1KI,5,22,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1KI 5:23,1KI,5,23,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1KI 5:24,1KI,5,24,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,1KI 5:25,1KI,5,25,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
