book_num,book_code,book_name,expected_chapters,expected_verses,actual_chapters,actual_verses,missing_count,extra_count,status
001,GEN,Genesis,50,1533,50,1533,0,0,OK
002,EXO,Exodus,40,1213,40,1213,0,0,OK
003,LEV,Leviticus,27,859,27,859,0,0,OK
004,NUM,Numbers,36,1288,36,1288,0,0,OK
005,DEU,Deuteronomy,34,959,34,959,0,0,OK
006,JOS,Joshua,24,658,24,658,0,0,OK
007,JDG,Judges,21,618,21,618,0,0,OK
008,RUT,Ruth,4,85,4,85,0,0,OK
009,1SA,1 Samuel,31,810,31,810,0,0,OK
010,2SA,2 Samuel,24,695,24,695,0,0,OK
011,1KI,1 Kings,22,816,22,816,0,0,OK
012,2KI,2 Kings,25,719,25,719,0,0,OK
013,1CH,1 Chronicles,29,942,29,942,0,0,OK
014,2CH,2 Chronicles,36,822,36,822,0,0,OK
015,EZR,Ezra,10,280,10,280,0,0,OK
016,NEH,Nehemiah,13,406,13,406,0,0,OK
017,EST,Esther,10,167,10,167,0,0,OK
018,JOB,Job,42,1070,42,1070,0,0,OK
019,PSA,Psalms,150,2461,150,2461,0,0,OK
020,PRO,Proverbs,31,915,31,915,0,0,OK
021,ECC,Ecclesiastes,12,222,12,222,0,0,OK
022,SNG,Song of Solomon,8,117,8,117,0,0,OK
023,ISA,Isaiah,66,1292,66,1292,0,0,OK
024,JER,Jeremiah,52,1364,52,1364,0,0,OK
025,LAM,Lamentations,5,154,5,154,0,0,OK
026,EZK,Ezekiel,48,1273,48,1273,0,0,OK
027,DAN,Daniel,12,357,12,357,0,0,OK
028,HOS,Hosea,14,197,14,197,0,0,OK
029,JOL,Joel,3,73,3,73,0,0,OK
030,AMO,Amos,9,146,9,146,0,0,OK
031,OBA,Obadiah,1,21,1,21,0,0,OK
032,JON,Jonah,4,48,4,48,0,0,OK
033,MIC,Micah,7,105,7,105,0,0,OK
034,NAM,Nahum,3,47,3,47,0,0,OK
035,HAB,Habakkuk,3,56,3,56,0,0,OK
036,ZEP,Zephaniah,3,53,3,53,0,0,OK
037,HAG,Haggai,2,38,2,38,0,0,OK
038,ZEC,Zechariah,14,211,14,211,0,0,OK
039,MAL,Malachi,4,55,4,55,0,0,OK
040,MAT,Matthew,28,1071,28,1071,0,0,OK
041,MRK,Mark,16,678,16,678,0,0,OK
042,LUK,Luke,24,1151,24,1151,0,0,OK
043,JHN,John,21,879,21,879,0,0,OK
044,ACT,Acts,28,1007,28,1007,0,0,OK
045,ROM,Romans,16,433,16,433,0,0,OK
046,1CO,1 Corinthians,16,437,16,437,0,0,OK
047,2CO,2 Corinthians,13,257,13,257,0,0,OK
048,GAL,Galatians,6,149,6,149,0,0,OK
049,EPH,Ephesians,6,155,6,155,0,0,OK
050,PHP,Philippians,4,104,4,104,0,0,OK
051,COL,Colossians,4,95,4,95,0,0,OK
052,1TH,1 Thessalonians,5,89,5,89,0,0,OK
053,2TH,2 Thessalonians,3,47,3,47,0,0,OK
054,1TI,1 Timothy,6,113,6,113,0,0,OK
055,2TI,2 Timothy,4,83,4,83,0,0,OK
056,TIT,Titus,3,46,3,46,0,0,OK
057,PHM,Philemon,1,25,1,25,0,0,OK
058,HEB,Hebrews,13,303,13,303,0,0,OK
059,JAS,James,5,108,5,108,0,0,OK
060,1PE,1 Peter,5,105,5,105,0,0,OK
061,2PE,2 Peter,3,61,3,61,0,0,OK
062,1JN,1 John,5,105,5,105,0,0,OK
063,2JN,2 John,1,13,1,13,0,0,OK
064,3JN,3 John,1,14,1,14,0,0,OK
065,JUD,Jude,1,25,1,25,0,0,OK
066,REV,Revelation,22,404,22,404,0,0,OK
