timestamp,action,book,wlc_ch,wlc_v,kjv_ch,kjv_v,old_file,new_file,note,dry_run
2026-05-17T16:56:32.816820,CONFLICT,GEN,32,33,33,1,001_GEN_032_033_WLC.txt,001_GEN_033_001_WLC.txt,Target 001_GEN_033_001_WLC.txt already exists,True
2026-05-17T16:56:32.818671,CONFLICT,EXO,7,26,8,1,002_EXO_007_026_WLC.txt,002_EXO_008_001_WLC.txt,Target 002_EXO_008_001_WLC.txt already exists,True
2026-05-17T16:56:32.818695,CONFLICT,EXO,7,27,8,2,002_EXO_007_027_WLC.txt,002_EXO_008_002_WLC.txt,Target 002_EXO_008_002_WLC.txt already exists,True
2026-05-17T16:56:32.818712,CONFLICT,EXO,7,28,8,3,002_EXO_007_028_WLC.txt,002_EXO_008_003_WLC.txt,Target 002_EXO_008_003_WLC.txt already exists,True
2026-05-17T16:56:32.818728,CONFLICT,EXO,7,29,8,4,002_EXO_007_029_WLC.txt,002_EXO_008_004_WLC.txt,Target 002_EXO_008_004_WLC.txt already exists,True
2026-05-17T16:56:32.819652,CONFLICT,EXO,21,37,22,1,002_EXO_021_037_WLC.txt,002_EXO_022_001_WLC.txt,Target 002_EXO_022_001_WLC.txt already exists,True
2026-05-17T16:56:32.821441,CONFLICT,LEV,5,20,6,1,003_LEV_005_020_WLC.txt,003_LEV_006_001_WLC.txt,Target 003_LEV_006_001_WLC.txt already exists,True
2026-05-17T16:56:32.821461,CONFLICT,LEV,5,21,6,2,003_LEV_005_021_WLC.txt,003_LEV_006_002_WLC.txt,Target 003_LEV_006_002_WLC.txt already exists,True
2026-05-17T16:56:32.821477,CONFLICT,LEV,5,22,6,3,003_LEV_005_022_WLC.txt,003_LEV_006_003_WLC.txt,Target 003_LEV_006_003_WLC.txt already exists,True
2026-05-17T16:56:32.821492,CONFLICT,LEV,5,23,6,4,003_LEV_005_023_WLC.txt,003_LEV_006_004_WLC.txt,Target 003_LEV_006_004_WLC.txt already exists,True
2026-05-17T16:56:32.821509,CONFLICT,LEV,5,24,6,5,003_LEV_005_024_WLC.txt,003_LEV_006_005_WLC.txt,Target 003_LEV_006_005_WLC.txt already exists,True
2026-05-17T16:56:32.821524,CONFLICT,LEV,5,25,6,6,003_LEV_005_025_WLC.txt,003_LEV_006_006_WLC.txt,Target 003_LEV_006_006_WLC.txt already exists,True
2026-05-17T16:56:32.821538,CONFLICT,LEV,5,26,6,7,003_LEV_005_026_WLC.txt,003_LEV_006_007_WLC.txt,Target 003_LEV_006_007_WLC.txt already exists,True
2026-05-17T16:56:32.824994,CONFLICT,NUM,17,14,18,1,004_NUM_017_014_WLC.txt,004_NUM_018_001_WLC.txt,Target 004_NUM_018_001_WLC.txt already exists,True
2026-05-17T16:56:32.825014,CONFLICT,NUM,17,15,18,2,004_NUM_017_015_WLC.txt,004_NUM_018_002_WLC.txt,Target 004_NUM_018_002_WLC.txt already exists,True
2026-05-17T16:56:32.825032,CONFLICT,NUM,17,16,18,3,004_NUM_017_016_WLC.txt,004_NUM_018_003_WLC.txt,Target 004_NUM_018_003_WLC.txt already exists,True
2026-05-17T16:56:32.825047,CONFLICT,NUM,17,17,18,4,004_NUM_017_017_WLC.txt,004_NUM_018_004_WLC.txt,Target 004_NUM_018_004_WLC.txt already exists,True
2026-05-17T16:56:32.825063,CONFLICT,NUM,17,18,18,5,004_NUM_017_018_WLC.txt,004_NUM_018_005_WLC.txt,Target 004_NUM_018_005_WLC.txt already exists,True
