phase,action,resolution,source,target,book,wlc_ch,wlc_v,note,dry_run
1,APPARATUS,APPARATUS,001_GEN_032_033_WLC.txt,001_GEN_033_001_WLC.txt,GEN,32,33,,True
1,APPARATUS,APPARATUS,002_EXO_007_026_WLC.txt,002_EXO_008_001_WLC.txt,EXO,7,26,,True
1,APPARATUS,APPARATUS,002_EXO_007_027_WLC.txt,002_EXO_008_002_WLC.txt,EXO,7,27,,True
1,APPARATUS,APPARATUS,002_EXO_007_028_WLC.txt,002_EXO_008_003_WLC.txt,EXO,7,28,,True
1,APPARATUS,APPARATUS,002_EXO_007_029_WLC.txt,002_EXO_008_004_WLC.txt,EXO,7,29,,True
1,APPARATUS,APPARATUS,002_EXO_021_037_WLC.txt,002_EXO_022_001_WLC.txt,EXO,21,37,,True
1,DUPLICATE,DUPLICATE,003_LEV_005_020_WLC.txt,003_LEV_006_001_WLC.txt,LEV,5,20,,True
1,APPARATUS,APPARATUS,003_LEV_005_021_WLC.txt,003_LEV_006_002_WLC.txt,LEV,5,21,,True
1,APPARATUS,APPARATUS,003_LEV_005_022_WLC.txt,003_LEV_006_003_WLC.txt,LEV,5,22,,True
1,APPARATUS,APPARATUS,003_LEV_005_023_WLC.txt,003_LEV_006_004_WLC.txt,LEV,5,23,,True
1,APPARATUS,APPARATUS,003_LEV_005_024_WLC.txt,003_LEV_006_005_WLC.txt,LEV,5,24,,True
1,APPARATUS,APPARATUS,003_LEV_005_025_WLC.txt,003_LEV_006_006_WLC.txt,LEV,5,25,,True
1,APPARATUS,APPARATUS,003_LEV_005_026_WLC.txt,003_LEV_006_007_WLC.txt,LEV,5,26,,True
1,APPARATUS,APPARATUS,004_NUM_017_014_WLC.txt,004_NUM_018_001_WLC.txt,NUM,17,14,,True
1,APPARATUS,APPARATUS,004_NUM_017_015_WLC.txt,004_NUM_018_002_WLC.txt,NUM,17,15,,True
1,APPARATUS,APPARATUS,004_NUM_017_016_WLC.txt,004_NUM_018_003_WLC.txt,NUM,17,16,,True
1,APPARATUS,APPARATUS,004_NUM_017_017_WLC.txt,004_NUM_018_004_WLC.txt,NUM,17,17,,True
1,APPARATUS,APPARATUS,004_NUM_017_018_WLC.txt,004_NUM_018_005_WLC.txt,NUM,17,18,,True
1,APPARATUS,APPARATUS,004_NUM_017_019_WLC.txt,004_NUM_018_006_WLC.txt,NUM,17,19,,True
1,APPARATUS,APPARATUS,004_NUM_017_020_WLC.txt,004_NUM_018_007_WLC.txt,NUM,17,20,,True
